© 2000-2022 QIAGEN. All rights reserved.

Expr Log Ratio	Expr False Discovery Rate (q-value)	ID	Flags	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
-0.082	6.67E-01	Alg5	 	ALG5	ALG5 dolichyl-phosphate beta-glucosyltransferase	Cytoplasm	enzyme	 	
0.315	1.55E-01	Alg6	 	ALG6	ALG6 alpha-1,3-glucosyltransferase	Cytoplasm	enzyme	 	
0.263	1.41E-01	Alg8	 	ALG8	ALG8 alpha-1,3-glucosyltransferase	Cytoplasm	enzyme	 	
0.276	1.75E-01	Alg9	 	ALG9	ALG9 alpha-1,2-mannosyltransferase	Cytoplasm	enzyme	 	
0.092	6.21E-01	Alkbh1	 	ALKBH1	alkB homolog 1, histone H2A dioxygenase	Cytoplasm	enzyme	 	
0.393	2.45E-01	Alkbh2	 	ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	Nucleus	enzyme	 	
0.023	9.09E-01	Alkbh3	 	ALKBH3	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase	Nucleus	enzyme	 	
-0.126	4.57E-01	Alkbh4	 	ALKBH4	alkB homolog 4, lysine demethylase	Cytoplasm	enzyme	 	
-0.004	9.88E-01	Alkbh5	 	ALKBH5	alkB homolog 5, RNA demethylase	Nucleus	enzyme	 	
0.222	1.15E-01	Alkbh6	 	ALKBH6	alkB homolog 6	Nucleus	other	 	
0.161	3.04E-01	Alkbh7	 	ALKBH7	alkB homolog 7	Cytoplasm	other	 	
0.209	2.69E-01	Alkbh8	 	ALKBH8	alkB homolog 8, tRNA methyltransferase	Cytoplasm	enzyme	 	
0.067	8.34E-01	Alms1	 	ALMS1	ALMS1 centrosome and basal body associated protein	Cytoplasm	other	 	
-0.481	4.73E-01	Alpk1	 	ALPK1	alpha kinase 1	Cytoplasm	kinase	 	
-0.194	6.32E-01	Als2	 	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	Cytoplasm	other	 	
-0.387	1.18E-01	Als2cl	 	ALS2CL	ALS2 C-terminal like	Cytoplasm	other	 	
0.355	2.29E-01	Alyref	 	Alyref	Aly/REF export factor	Nucleus	other	 	
0.084	8.34E-01	Alyref2	 	Alyref2	Aly/REF export factor 2	Cytoplasm	other	 	
-0.029	9.48E-01	Amacr	 	AMACR	alpha-methylacyl-CoA racemase	Cytoplasm	enzyme	 	
0.029	8.42E-01	Ambra1	 	AMBRA1	autophagy and beclin 1 regulator 1	Cytoplasm	other	 	
-0.781	6.57E-03	Amdhd2	 	AMDHD2	amidohydrolase domain containing 2	Nucleus	enzyme	 	
0.153	6.52E-01	Amer1	 	AMER1	APC membrane recruitment protein 1	Plasma Membrane	other	 	
-0.144	3.79E-01	Amfr	 	AMFR	autocrine motility factor receptor	Plasma Membrane	transmembrane receptor	 	
-0.164	7.94E-01	Amigo3	 	AMIGO3	adhesion molecule with Ig like domain 3	Other	other	 	
0.638	2.88E-01	Ammecr1	 	AMMECR1	AMMECR nuclear protein 1	Nucleus	other	 	
0.072	6.03E-01	Ammecr1l	 	AMMECR1L	AMMECR1 like	Other	other	 	
0.076	8.74E-01	Amn1	 	AMN1	antagonist of mitotic exit network 1 homolog	Plasma Membrane	other	 	
-0.496	4.44E-01	Ampd1	 	AMPD1	adenosine monophosphate deaminase 1	Cytoplasm	enzyme	 	
0.219	8.37E-02	Ampd2	 	AMPD2	adenosine monophosphate deaminase 2	Cytoplasm	enzyme	 	
-0.468	1.34E-01	Ampd3	 	AMPD3	adenosine monophosphate deaminase 3	Cytoplasm	enzyme	 	
-0.013	9.41E-01	Amz2	 	AMZ2	archaelysin family metallopeptidase 2	Other	other	 	
0.070	7.60E-01	Anapc1	 	ANAPC1	anaphase promoting complex subunit 1	Nucleus	other	 	
0.228	8.22E-02	Anapc10	 	ANAPC10	anaphase promoting complex subunit 10	Nucleus	other	 	
-0.167	2.63E-01	Anapc11	 	ANAPC11	anaphase promoting complex subunit 11	Cytoplasm	enzyme	 	
-0.201	2.05E-01	Anapc13	 	ANAPC13	anaphase promoting complex subunit 13	Nucleus	other	 	
0.254	9.84E-02	Anapc15	 	Anapc15	anaphase promoting complex C subunit 15	Nucleus	other	 	
-0.058	6.40E-01	Anapc16	 	ANAPC16	anaphase promoting complex subunit 16	Nucleus	other	 	
0.078	6.05E-01	Anapc2	 	ANAPC2	anaphase promoting complex subunit 2	Nucleus	other	 	
-0.034	8.40E-01	Anapc4	 	ANAPC4	anaphase promoting complex subunit 4	Nucleus	enzyme	 	
-0.041	8.47E-01	Anapc5	 	ANAPC5	anaphase promoting complex subunit 5	Nucleus	other	 	
0.134	3.56E-01	Anapc7	 	ANAPC7	anaphase promoting complex subunit 7	Nucleus	other	 	
-0.083	7.29E-01	Angel1	 	ANGEL1	angel homolog 1	Extracellular Space	other	 	
-0.062	5.87E-01	Angel2	 	ANGEL2	angel homolog 2	Nucleus	other	 	
-0.506	1.74E-01	Angptl2	 	ANGPTL2	angiopoietin like 2	Extracellular Space	other	 	
0.545	1.12E-01	Angptl4	 	ANGPTL4	angiopoietin like 4	Extracellular Space	other	 	
0.134	8.75E-01	Angptl6	 	ANGPTL6	angiopoietin like 6	Extracellular Space	other	 	
-0.097	6.98E-01	Ankfy1	 	ANKFY1	ankyrin repeat and FYVE domain containing 1	Cytoplasm	transcription regulator	 	
-0.173	7.17E-01	Ank	 	ANKH	ANKH inorganic pyrophosphate transport regulator	Plasma Membrane	transporter	 	
-0.028	9.19E-01	Ankhd1	 	ANKHD1/ANKHD1-EIF4EBP3	ankyrin repeat and KH domain containing 1	Cytoplasm	other	 	
-0.265	4.26E-01	Ankib1	 	ANKIB1	ankyrin repeat and IBR domain containing 1	Nucleus	transcription regulator	 	
0.030	9.49E-01	Ankle1	 	ANKLE1	ankyrin repeat and LEM domain containing 1	Cytoplasm	enzyme	 	
-0.022	9.31E-01	Ankle2	 	ANKLE2	ankyrin repeat and LEM domain containing 2	Nucleus	transcription regulator	 	
-0.094	5.19E-01	Ankmy2	 	ANKMY2	ankyrin repeat and MYND domain containing 2	Plasma Membrane	other	 	
-0.361	4.15E-02	Ankra2	 	ANKRA2	ankyrin repeat family A member 2	Cytoplasm	transcription regulator	 	
0.044	7.06E-01	Ankrd10	 	ANKRD10	ankyrin repeat domain 10	Nucleus	transcription regulator	 	
-0.186	2.31E-01	Ankrd11	 	ANKRD11	ankyrin repeat domain 11	Nucleus	other	 	
-0.239	1.92E-01	Ankrd12	 	ANKRD12	ankyrin repeat domain 12	Nucleus	other	 	
-0.031	8.95E-01	Ankrd13a	 	ANKRD13A	ankyrin repeat domain 13A	Plasma Membrane	other	 	
0.639	2.41E-01	Ankrd13b	 	ANKRD13B	ankyrin repeat domain 13B	Plasma Membrane	other	 	
-0.225	4.40E-01	Ankrd13c	 	ANKRD13C	ankyrin repeat domain 13C	Cytoplasm	other	 	
-0.406	3.15E-01	Ankrd13d	 	ANKRD13D	ankyrin repeat domain 13D	Plasma Membrane	other	 	
-0.091	6.32E-01	Ankrd16	 	ANKRD16	ankyrin repeat domain 16	Other	other	 	
0.217	1.41E-01	Ankrd17	 	ANKRD17	ankyrin repeat domain 17	Nucleus	other	 	
0.047	8.83E-01	Ankrd23	 	ANKRD23	ankyrin repeat domain 23	Nucleus	other	 	
0.318	1.28E-01	Ankrd26	 	ANKRD26	ankyrin repeat domain 26	Nucleus	transcription regulator	 	
0.081	6.15E-01	Ankrd27	 	ANKRD27	ankyrin repeat domain 27	Cytoplasm	other	 	
-0.016	9.56E-01	Ankrd28	 	ANKRD28	ankyrin repeat domain 28	Cytoplasm	other	 	
-0.254	6.81E-01	Ankrd29	 	ANKRD29	ankyrin repeat domain 29	Other	other	 	
0.155	6.57E-01	Ankrd37	 	ANKRD37	ankyrin repeat domain 37	Cytoplasm	other	 	
-0.022	9.29E-01	Ankrd39	 	ANKRD39	ankyrin repeat domain 39	Other	other	 	
0.037	8.86E-01	Ankrd40	 	ANKRD40	ankyrin repeat domain 40	Other	other	 	
-0.305	2.85E-02	Ankrd44	 	ANKRD44	ankyrin repeat domain 44	Other	other	 	
-0.287	2.70E-02	Ankrd46	 	ANKRD46	ankyrin repeat domain 46	Nucleus	transcription regulator	 	
0.408	4.00E-02	Ankrd49	 	ANKRD49	ankyrin repeat domain 49	Nucleus	transcription regulator	 	
-0.020	9.59E-01	Ankrd50	 	Ankrd50	ankyrin repeat domain 50	Other	other	 	
0.126	5.40E-01	Ankrd52	 	ANKRD52	ankyrin repeat domain 52	Nucleus	transcription regulator	 	
-0.100	6.18E-01	Ankrd54	 	ANKRD54	ankyrin repeat domain 54	Nucleus	transcription regulator	 	
-0.321	5.91E-01	Ankrd55	 	ANKRD55	ankyrin repeat domain 55	Nucleus	transcription regulator	 	
-1.367	6.72E-02	Ankrd6	 	ANKRD6	ankyrin repeat domain 6	Nucleus	transcription regulator	 	
-0.067	8.76E-01	Ankrd9	 	ANKRD9	ankyrin repeat domain 9	Cytoplasm	other	 	
0.175	5.63E-01	Anks1	 	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	Cytoplasm	other	 	
-0.161	2.50E-01	Anks3	 	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3	Nucleus	transcription regulator	 	
-0.403	8.46E-02	Ankzf1	 	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1	Nucleus	transcription regulator	 	
0.067	9.07E-01	Anln	 	ANLN	anillin actin binding protein	Cytoplasm	other	 	
0.032	8.59E-01	Ano10	 	ANO10	anoctamin 10	Plasma Membrane	ion channel	 	
-0.418	1.14E-02	Ano6	 	ANO6	anoctamin 6	Plasma Membrane	ion channel	 	
-0.705	3.53E-01	Ano8	 	ANO8	anoctamin 8	Plasma Membrane	ion channel	 	
0.220	3.68E-01	Anp32a	 	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	Nucleus	other	 	
0.260	3.28E-01	Anp32b	 	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	Nucleus	other	 	
-0.024	9.09E-01	Anp32e	 	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Cytoplasm	other	 	
-0.434	9.06E-02	Antxr2	 	ANTXR2	ANTXR cell adhesion molecule 2	Plasma Membrane	transmembrane receptor	 	
-0.040	9.63E-01	Anxa1	 	ANXA1	annexin A1	Plasma Membrane	enzyme	hydrocortisone, hydrocortisone/prednisone, hydrocortisone/mitoxantrone, cytarabine/hydrocortisone/methotrexate, dasatinib/hydrocortisone, hydrocortisone/imatinib, acyclovir/hydrocortisone	
-0.273	1.60E-01	Anxa11	 	ANXA11	annexin A11	Nucleus	other	 	
-0.753	4.64E-02	Anxa2	 	ANXA2	annexin A2	Plasma Membrane	other	 	
-0.671	3.24E-01	Anxa3	 	ANXA3	annexin A3	Cytoplasm	enzyme	 	
0.258	3.86E-01	Anxa4	 	ANXA4	annexin A4	Plasma Membrane	other	 	
-0.316	2.92E-02	Anxa5	 	ANXA5	annexin A5	Plasma Membrane	transporter	 	
0.248	4.14E-02	Anxa6	 	ANXA6	annexin A6	Plasma Membrane	ion channel	 	
-0.241	1.33E-01	Anxa7	 	ANXA7	annexin A7	Plasma Membrane	ion channel	 	
0.370	4.01E-01	Aoc2	 	AOC2	amine oxidase copper containing 2	Plasma Membrane	enzyme	 	
-0.075	8.82E-01	Ap1ar	 	AP1AR	adaptor related protein complex 1 associated regulatory protein	Cytoplasm	other	 	
-0.234	7.87E-02	Ap1b1	 	AP1B1	adaptor related protein complex 1 subunit beta 1	Cytoplasm	other	 	
0.112	5.21E-01	Ap1g1	 	AP1G1	adaptor related protein complex 1 subunit gamma 1	Cytoplasm	other	 	
-0.191	9.55E-02	Ap1g2	 	AP1G2	adaptor related protein complex 1 subunit gamma 2	Cytoplasm	transporter	 	
-0.016	9.23E-01	Ap1m1	 	AP1M1	adaptor related protein complex 1 subunit mu 1	Cytoplasm	transporter	 	
-0.427	3.65E-01	Ap1m2	 	AP1M2	adaptor related protein complex 1 subunit mu 2	Cytoplasm	transporter	 	
0.047	7.70E-01	Ap1s1	 	AP1S1	adaptor related protein complex 1 subunit sigma 1	Cytoplasm	transporter	 	
-0.108	5.85E-01	Ap1s2	 	AP1S2	adaptor related protein complex 1 subunit sigma 2	Cytoplasm	transporter	 	
0.073	8.21E-01	Ap1s3	 	AP1S3	adaptor related protein complex 1 subunit sigma 3	Cytoplasm	transporter	 	
0.021	9.24E-01	Ap2a1	 	AP2A1	adaptor related protein complex 2 subunit alpha 1	Cytoplasm	transporter	 	
0.063	7.04E-01	Ap2a2	 	AP2A2	adaptor related protein complex 2 subunit alpha 2	Cytoplasm	transporter	 	
0.026	8.80E-01	Ap2b1	 	Ap2b1	adaptor-related protein complex 2, beta 1 subunit	Plasma Membrane	other	 	
-0.002	9.92E-01	Ap2m1	 	AP2M1	adaptor related protein complex 2 subunit mu 1	Cytoplasm	other	 	
-0.075	5.79E-01	Ap2s1	 	AP2S1	adaptor related protein complex 2 subunit sigma 1	Cytoplasm	transporter	 	
-0.270	2.88E-02	Ap3b1	 	AP3B1	adaptor related protein complex 3 subunit beta 1	Plasma Membrane	transporter	 	
-0.300	1.13E-02	Ap3d1	 	AP3D1	adaptor related protein complex 3 subunit delta 1	Cytoplasm	other	 	
-0.019	9.25E-01	Ap3m1	 	AP3M1	adaptor related protein complex 3 subunit mu 1	Cytoplasm	transporter	 	
-0.289	2.01E-01	Ap3m2	 	AP3M2	adaptor related protein complex 3 subunit mu 2	Cytoplasm	transporter	 	
-0.424	3.09E-02	Ap3s1	 	AP3S1	adaptor related protein complex 3 subunit sigma 1	Cytoplasm	transporter	 	
0.060	7.05E-01	Ap3s2	 	AP3S2	adaptor related protein complex 3 subunit sigma 2	Cytoplasm	transporter	 	
-0.061	7.79E-01	Ap4b1	 	AP4B1	adaptor related protein complex 4 subunit beta 1	Cytoplasm	other	 	
-0.044	8.47E-01	Ap4e1	 	AP4E1	adaptor related protein complex 4 subunit epsilon 1	Cytoplasm	other	 	
0.238	5.06E-01	Ap4m1	 	AP4M1	adaptor related protein complex 4 subunit mu 1	Cytoplasm	other	 	
-0.050	7.78E-01	Ap4s1	 	AP4S1	adaptor related protein complex 4 subunit sigma 1	Cytoplasm	other	 	
-0.004	9.86E-01	Ap5b1	 	AP5B1	adaptor related protein complex 5 subunit beta 1	Cytoplasm	other	 	
-0.089	5.99E-01	Ap5m1	 	AP5M1	adaptor related protein complex 5 subunit mu 1	Cytoplasm	other	 	
-0.102	6.98E-01	Ap5s1	 	AP5S1	adaptor related protein complex 5 subunit sigma 1	Cytoplasm	other	 	
-0.520	5.36E-03	Ap5z1	 	AP5Z1	adaptor related protein complex 5 subunit zeta 1	Nucleus	other	 	
-0.307	2.06E-01	Apaf1	 	APAF1	apoptotic peptidase activating factor 1	Cytoplasm	other	 	
-0.148	4.36E-01	Apba3	 	APBA3	amyloid beta precursor protein binding family A member 3	Cytoplasm	transporter	 	
-0.061	6.87E-01	Apbb1ip	 	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	Cytoplasm	other	 	
-0.115	9.12E-01	Apbb2	 	APBB2	amyloid beta precursor protein binding family B member 2	Cytoplasm	other	 	
-0.119	6.62E-01	Apbb3	 	APBB3	amyloid beta precursor protein binding family B member 3	Cytoplasm	other	 	
-0.108	6.18E-01	Apc	 	APC	APC regulator of WNT signaling pathway	Nucleus	enzyme	 	
-0.082	4.76E-01	Apeh	 	APEH	acylaminoacyl-peptide hydrolase	Cytoplasm	peptidase	 	
0.241	2.71E-01	Apex1	 	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	Nucleus	enzyme	E 3330, lucanthone	
0.229	1.85E-01	Apex2	 	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	Nucleus	enzyme	 	
0.335	4.02E-02	Aph1a	 	APH1A	aph-1 homolog A, gamma-secretase subunit	Cytoplasm	peptidase	 	
-0.314	6.86E-01	Aph1b	 	APH1B	aph-1 homolog B, gamma-secretase subunit	Cytoplasm	peptidase	 	
0.107	4.93E-01	Api5	 	API5	apoptosis inhibitor 5	Cytoplasm	other	 	
0.494	2.07E-03	Apip	 	APIP	APAF1 interacting protein	Cytoplasm	enzyme	 	
0.347	1.88E-01	Aplf	 	APLF	aprataxin and PNKP like factor	Cytoplasm	enzyme	 	
-0.662	4.37E-02	Aplp1	 	APLP1	amyloid beta precursor like protein 1	Extracellular Space	other	 	
-0.043	7.93E-01	Aplp2	 	APLP2	amyloid beta precursor like protein 2	Cytoplasm	other	 	
0.078	6.10E-01	Apmap	 	APMAP	adipocyte plasma membrane associated protein	Plasma Membrane	enzyme	 	
-0.607	8.94E-02	Apobec1	 	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	Cytoplasm	enzyme	 	
0.434	5.05E-01	Apobec2	 	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	Other	enzyme	 	
-0.061	6.83E-01	Apobec3	 	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	Cytoplasm	enzyme	 	
0.722	4.04E-02	Apobr	 	APOBR	apolipoprotein B receptor	Plasma Membrane	transmembrane receptor	 	
-0.344	4.00E-01	Apoe	 	APOE	apolipoprotein E	Extracellular Space	transporter	 	
1.211	2.51E-02	Apol10b	 	Apol11b (includes others)	apolipoprotein L 11b	Extracellular Space	other	 	
-0.495	1.09E-01	Apol7e	 	Apol7e (includes others)	apolipoprotein L 7e	Extracellular Space	other	 	
0.585	8.06E-03	Apol9b	D	Apol9a/Apol9b	apolipoprotein L 9b	Extracellular Space	other	 	
-0.033	9.53E-01	Apol9a	D	Apol9a/Apol9b	apolipoprotein L 9b	Extracellular Space	other	 	
-1.802	7.69E-03	Apold1	 	APOLD1	apolipoprotein L domain containing 1	Other	other	 	
0.592	1.45E-01	Apoo	 	APOO	apolipoprotein O	Extracellular Space	other	 	
-0.009	9.61E-01	Apool	 	APOOL	apolipoprotein O like	Extracellular Space	other	 	
-0.421	6.18E-01	App	 	APP	amyloid beta precursor protein	Plasma Membrane	other	bapineuzumab, florbetapir F18, aducanumab, florbetaben F	
0.092	7.70E-01	Appbp2	 	APPBP2	amyloid beta precursor protein binding protein 2	Cytoplasm	other	 	
0.040	7.79E-01	Appl1	 	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	Cytoplasm	other	 	
-0.273	3.47E-01	Appl2	 	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	Cytoplasm	other	 	
0.193	6.05E-02	Aprt	 	APRT	adenine phosphoribosyltransferase	Cytoplasm	enzyme	 	
-0.085	7.41E-01	Aptx	 	APTX	aprataxin	Nucleus	phosphatase	 	
-1.643	3.64E-04	Aqp3	 	AQP3	aquaporin 3 (Gill blood group)	Plasma Membrane	transporter	 	
0.018	9.22E-01	Aqr	 	AQR	aquarius intron-binding spliceosomal factor	Nucleus	enzyme	 	
-0.007	9.92E-01	Ar	 	AR	androgen receptor	Nucleus	ligand-dependent nuclear receptor	clascoterone, nandrolone phenpropionate, cyproterone acetate/ethinyl estradiol, testosterone propionate, AZD3514, apalutamide, bicalutamide/goserelin, ARV-110, darolutamide, fluoxymesterone, flutamide, testolone, LY2452473, enzalutamide, bicalutamide/GnRH analog, oxandrolone, spironolactone, AZD5312, ketodarolutamide, APC-100, estradiol valerate/testosterone enanthate, BMS-641988, dexamethasone/enzalutamide, enzalutamide/exemestane, nilutamide, androgen receptor antagonist, nandrolone decanoate, testosterone, SXL01, drospirenone/ethinyl estradiol, galeterone, testosterone cypionate, EPI-506, drospirenone, methyltestosterone, TRC253, ostarine, fluoxymesterone/tamoxifen, GSK2881078, danazol, testosterone enanthate, oxymetholone, bicalutamide, bicalutamide/leuprolide, nandrolone, cyproterone acetate, estradiol cypionate/testosterone cypionate, 1-testosterone, medroxyprogesterone acetate, norgestimate, 7alpha-hydroxytestosterone, deuterated enzalutamide, proxalutamide, dihydrotestosterone, hydroxyflutamide, stanozolol, flutamide/goserelin, SHR3680	
-0.073	5.22E-01	Araf	 	ARAF	A-Raf proto-oncogene, serine/threonine kinase	Cytoplasm	kinase	cetuximab/irinotecan/vemurafenib, binimetinib/vemurafenib, cetuximab/vemurafenib, irinotecan/panitumumab/vemurafenib, cobimetinib/vemurafenib, MLN2480, trametinib/vemurafenib, vemurafenib, dabrafenib/trametinib/vemurafenib, crizotinib/vemurafenib, ipilimumab/vemurafenib, atezolizumab/cobimetinib/vemurafenib	
-0.099	4.19E-01	Arap1	 	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	Cytoplasm	other	 	
-0.312	1.34E-01	Arap2	 	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	Cytoplasm	other	 	
-0.570	4.21E-02	Arc	 	ARC	activity regulated cytoskeleton associated protein	Cytoplasm	other	 	
0.079	5.57E-01	Arcn1	 	ARCN1	archain 1	Cytoplasm	other	 	
-0.423	2.56E-02	Arel1	 	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	Cytoplasm	enzyme	 	
0.104	2.96E-01	Arf1	 	ARF1	ADP ribosylation factor 1	Cytoplasm	enzyme	 	
-0.046	8.55E-01	Arf2	 	Arf2	ADP-ribosylation factor 2	Cytoplasm	other	 	
0.096	5.19E-01	Arf3	 	ARF3	ADP ribosylation factor 3	Cytoplasm	enzyme	 	
0.127	3.57E-01	Arf4	 	ARF4	ADP ribosylation factor 4	Cytoplasm	enzyme	 	
-0.072	7.79E-01	Arf5	 	ARF5	ADP ribosylation factor 5	Cytoplasm	enzyme	 	
-0.131	4.56E-01	Arf6	 	ARF6	ADP ribosylation factor 6	Plasma Membrane	transporter	 	
-0.078	6.32E-01	Arfgap1	 	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	Cytoplasm	transporter	 	
-0.015	9.22E-01	Arfgap2	 	ARFGAP2	ADP ribosylation factor GTPase activating protein 2	Nucleus	other	 	
-0.096	6.92E-01	Arfgap3	 	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	Cytoplasm	transporter	 	
0.089	4.74E-01	Arfgef1	 	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	Cytoplasm	other	 	
-0.307	2.18E-01	Arfgef2	 	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	Cytoplasm	other	 	
-0.528	7.32E-01	Arfgef3	 	ARFGEF3	ARFGEF family member 3	Other	other	 	
0.070	5.70E-01	Arfip1	 	ARFIP1	ADP ribosylation factor interacting protein 1	Cytoplasm	other	 	
0.179	3.62E-01	Arfip2	 	ARFIP2	ADP ribosylation factor interacting protein 2	Cytoplasm	other	 	
0.049	7.41E-01	Arfrp1	 	ARFRP1	ADP ribosylation factor related protein 1	Cytoplasm	enzyme	 	
0.128	6.65E-01	Arglu1	 	ARGLU1	arginine and glutamate rich 1	Other	other	 	
-0.501	2.76E-03	Arhgap1	 	ARHGAP1	Rho GTPase activating protein 1	Cytoplasm	other	 	
-0.266	4.17E-01	Arhgap10	 	ARHGAP10	Rho GTPase activating protein 10	Cytoplasm	other	 	
-0.214	5.68E-01	Arhgap11a	 	ARHGAP11A	Rho GTPase activating protein 11A	Cytoplasm	other	 	
0.035	9.17E-01	Arhgap12	 	ARHGAP12	Rho GTPase activating protein 12	Cytoplasm	other	 	
-0.296	3.37E-02	Arhgap15	 	ARHGAP15	Rho GTPase activating protein 15	Cytoplasm	other	 	
-0.070	7.67E-01	Arhgap17	 	ARHGAP17	Rho GTPase activating protein 17	Cytoplasm	other	 	
-0.237	2.56E-01	Arhgap18	 	ARHGAP18	Rho GTPase activating protein 18	Cytoplasm	other	 	
-0.190	6.81E-01	Arhgap19	 	ARHGAP19	Rho GTPase activating protein 19	Cytoplasm	other	 	
-0.196	7.27E-01	Arhgap21	 	ARHGAP21	Rho GTPase activating protein 21	Cytoplasm	other	 	
1.187	1.22E-02	Arhgap24	 	ARHGAP24	Rho GTPase activating protein 24	Cytoplasm	other	 	
-0.660	1.35E-04	Arhgap25	 	ARHGAP25	Rho GTPase activating protein 25	Cytoplasm	other	 	
-0.478	2.88E-02	Arhgap26	 	ARHGAP26	Rho GTPase activating protein 26	Cytoplasm	other	 	
-0.111	4.17E-01	Arhgap27	 	ARHGAP27	Rho GTPase activating protein 27	Cytoplasm	other	 	
-0.154	3.22E-01	Arhgap27os3	 	Arhgap27os3	Rho GTPase activating protein 27, opposite strand 3	Other	other	 	
-0.727	2.35E-01	Arhgap29	 	ARHGAP29	Rho GTPase activating protein 29	Cytoplasm	other	 	
-0.285	3.61E-02	Arhgap30	 	ARHGAP30	Rho GTPase activating protein 30	Cytoplasm	other	 	
0.280	4.21E-02	Arhgap31	 	ARHGAP31	Rho GTPase activating protein 31	Cytoplasm	other	 	
-0.414	4.34E-01	Arhgap33	 	ARHGAP33	Rho GTPase activating protein 33	Plasma Membrane	transporter	 	
0.062	8.39E-01	Arhgap35	 	ARHGAP35	Rho GTPase activating protein 35	Nucleus	transcription regulator	 	
0.237	2.95E-01	Arhgap39	 	ARHGAP39	Rho GTPase activating protein 39	Nucleus	other	 	
-0.458	6.58E-03	Arhgap4	 	ARHGAP4	Rho GTPase activating protein 4	Cytoplasm	other	 	
0.374	4.77E-01	Arhgap5	 	ARHGAP5	Rho GTPase activating protein 5	Cytoplasm	enzyme	 	
-0.176	7.50E-02	Arhgap9	 	ARHGAP9	Rho GTPase activating protein 9	Cytoplasm	other	 	
0.050	7.24E-01	Arhgdia	 	ARHGDIA	Rho GDP dissociation inhibitor alpha	Cytoplasm	other	 	
-0.080	4.65E-01	Arhgdib	 	ARHGDIB	Rho GDP dissociation inhibitor beta	Cytoplasm	enzyme	 	
-0.292	3.36E-02	Arhgef1	 	ARHGEF1	Rho guanine nucleotide exchange factor 1	Cytoplasm	other	 	
-0.867	1.57E-02	Arhgef10	 	ARHGEF10	Rho guanine nucleotide exchange factor 10	Cytoplasm	enzyme	 	
-0.761	3.14E-02	Arhgef11	 	ARHGEF11	Rho guanine nucleotide exchange factor 11	Cytoplasm	other	 	
-0.475	2.14E-01	Arhgef12	 	ARHGEF12	Rho guanine nucleotide exchange factor 12	Cytoplasm	other	 	
-0.734	2.37E-03	Arhgef18	 	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	Cytoplasm	other	 	
-0.058	6.58E-01	Arhgef2	 	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	Cytoplasm	other	 	
-0.152	1.32E-01	Arhgef3	 	ARHGEF3	Rho guanine nucleotide exchange factor 3	Cytoplasm	other	 	
-0.077	8.28E-01	Arhgef39	 	ARHGEF39	Rho guanine nucleotide exchange factor 39	Plasma Membrane	other	 	
-0.186	4.83E-01	Arhgef4	 	ARHGEF4	Rho guanine nucleotide exchange factor 4	Cytoplasm	other	 	
0.435	4.71E-01	Arhgef5	 	ARHGEF5	Rho guanine nucleotide exchange factor 5	Cytoplasm	other	 	
-0.102	4.98E-01	Arhgef6	 	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6	Cytoplasm	other	 	
0.095	6.93E-01	Arhgef7	 	ARHGEF7	Rho guanine nucleotide exchange factor 7	Cytoplasm	other	 	
-0.411	6.38E-01	Arhgef9	 	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9	Cytoplasm	other	 	
0.136	3.64E-01	Arid1a	 	ARID1A	AT-rich interaction domain 1A	Nucleus	transcription regulator	 	
-0.249	1.70E-01	Arid1b	 	ARID1B	AT-rich interaction domain 1B	Nucleus	transcription regulator	 	
0.037	8.05E-01	Arid2	 	ARID2	AT-rich interaction domain 2	Nucleus	transcription regulator	 	
-0.207	2.60E-01	Arid3a	 	ARID3A	AT-rich interaction domain 3A	Nucleus	transcription regulator	 	
