© 2000-2022 QIAGEN. All rights reserved.

Expr Log Ratio	Expr False Discovery Rate (q-value)	ID	Flags	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
0.187	6.81E-01	1700028J19Rik	 	1700028J19Rik	RIKEN cDNA 1700028J19 gene	Other	other	 	
0.447	3.37E-01	1700048O20Rik	 	1700048O20Rik	RIKEN cDNA 1700048O20 gene	Other	other	 	
-0.696	5.26E-02	1700052K11Rik	 	1700052K11Rik	RIKEN cDNA 1700052K11 gene	Other	other	 	
-0.704	9.31E-02	1700056E22Rik	 	1700056E22Rik	RIKEN cDNA 1700056E22 gene	Other	other	 	
-0.127	7.79E-01	1700066B19Rik	 	1700066B19Rik	RIKEN cDNA 1700066B19 gene	Other	other	 	
-0.004	9.96E-01	1700086O06Rik	 	1700086O06Rik	RIKEN cDNA 1700086O06 gene	Other	other	 	
-0.747	2.63E-02	1700096K18Rik	 	1700096K18Rik	RIKEN cDNA 1700096K18 gene	Other	other	 	
-0.885	1.18E-03	1700097N02Rik	 	1700097N02Rik	RIKEN cDNA 1700097N02 gene	Other	other	 	
0.031	9.30E-01	1700113A16Rik	 	1700113A16Rik	RIKEN cDNA 1700113A16 gene	Other	other	 	
-0.032	9.63E-01	1700123M08Rik	 	1700123M08Rik	RIKEN cDNA 1700123M08 gene	Other	other	 	
1.036	7.80E-02	1810006J02Rik	 	1810006J02Rik	RIKEN cDNA 1810006J02 gene	Other	other	 	
0.200	5.10E-01	1810014B01Rik	 	1810014B01Rik	RIKEN cDNA 1810014B01 gene	Other	other	 	
-0.724	4.90E-02	1810034E14Rik	 	1810034E14Rik	RIKEN cDNA 1810034E14 gene	Other	other	 	
0.479	2.20E-03	1810037I17Rik	 	1810037I17Rik/Gm2036	RIKEN cDNA 1810037I17 gene	Cytoplasm	other	 	
-0.489	2.14E-01	1810041H14Rik	 	1810041H14Rik	RIKEN cDNA 1810041H14 gene	Other	other	 	
-0.573	2.88E-01	1810044D09Rik	 	1810044D09Rik	RIKEN cDNA 1810044D09 gene	Other	other	 	
-0.086	5.92E-01	1810058I24Rik	 	1810058I24Rik	RIKEN cDNA 1810058I24 gene	Cytoplasm	other	 	
-1.109	1.82E-01	1810062G17Rik	 	1810062G17Rik	RIKEN cDNA 1810062G17 gene	Other	other	 	
0.125	8.54E-01	2010001A14Rik	 	2010001A14Rik	RIKEN cDNA 2010001A14 gene	Other	other	 	
-0.976	1.71E-03	2010016I18Rik	 	2010016I18Rik	RIKEN cDNA 2010016I18 gene	Other	other	 	
-0.009	9.77E-01	2010315B03Rik	 	2010315B03Rik	 	Other	other	 	
0.016	9.77E-01	2010320M18Rik	 	2010320M18Rik	RIKEN cDNA 2010320M18 gene	Other	other	 	
-0.643	2.73E-01	2200002D01Rik	 	2200002D01Rik	RIKEN cDNA 2200002D01 gene	Nucleus	other	 	
-1.759	4.56E-02	2210417A02Rik	 	2210417A02Rik	RIKEN cDNA 2210417A02 gene	Other	other	 	
-0.982	7.67E-04	2310001H17Rik	 	2310001H17Rik	RIKEN cDNA 2310001H17 gene	Other	other	 	
-0.125	6.87E-01	2310010J17Rik	 	2310010J17Rik	RIKEN cDNA 2310010J17 gene	Other	other	 	
-0.073	8.56E-01	2310015A10Rik	 	2310015A10Rik	RIKEN cDNA 2310015A10 gene	Other	other	 	
0.101	6.65E-01	2310039H08Rik	 	2310039H08Rik	RIKEN cDNA 2310039H08 gene	Other	other	 	
0.449	3.16E-02	2410002F23Rik	 	2410002F23Rik	 	Other	other	 	
0.097	7.54E-01	2410006H16Rik	 	2410006H16Rik	RIKEN cDNA 2410006H16 gene	Other	other	 	
-0.190	7.27E-01	2500004C02Rik	 	2500004C02Rik	RIKEN cDNA 2500004C02 gene	Other	other	 	
0.187	9.51E-02	2510002D24Rik	 	2510002D24Rik	 	Other	other	 	
0.045	7.82E-01	2610001J05Rik	 	2610001J05Rik	RIKEN cDNA 2610001J05 gene	Other	other	 	
0.080	6.60E-01	2610002M06Rik	 	2610002M06Rik	RIKEN cDNA 2610002M06 gene	Cytoplasm	other	 	
0.038	9.00E-01	2610005L07Rik	 	2610005L07Rik	cadherin 11 pseudogene	Other	other	 	
-0.645	5.06E-03	2610008E11Rik	 	2610008E11Rik	RIKEN cDNA 2610008E11 gene	Other	other	 	
-0.111	8.74E-01	2610020C07Rik	 	2610020C07Rik	RIKEN cDNA 2610020C07 gene	Other	other	 	
-0.753	2.32E-02	2610035D17Rik	 	2610035D17Rik	RIKEN cDNA 2610035D17 gene	Other	other	 	
-0.170	5.20E-01	2610044O15Rik8	 	2610044O15Rik8	RIKEN cDNA 2610044O15 gene	Other	other	 	
-0.258	5.16E-01	2610306M01Rik	 	2610306M01Rik	RIKEN cDNA 2610306M01 gene	Other	other	 	
-0.626	4.36E-01	2610307P16Rik	 	2610307P16Rik	RIKEN cDNA 2610307P16 gene	Other	other	 	
0.051	9.21E-01	2610318N02Rik	 	2610318N02Rik	RIKEN cDNA 2610318N02 gene	Other	other	 	
-0.437	1.97E-01	2610507I01Rik	 	2610507I01Rik	RIKEN cDNA 2610507I01 gene	Other	other	 	
-0.216	2.78E-01	2610524H06Rik	 	2610524H06Rik	RIKEN cDNA 2610524H06 gene	Other	other	 	
0.873	3.52E-02	2700038G22Rik	 	2700038G22Rik	RIKEN cDNA 2700038G22 gene	Other	other	 	
0.356	1.05E-01	2700097O09Rik	 	2700097O09Rik	RIKEN cDNA 2700097O09 gene	Extracellular Space	other	 	
-0.004	9.92E-01	2700099C18Rik	 	2700099C18Rik	NDC80 homolog, kinetochore complex component pseudogene	Other	other	 	
-0.702	2.45E-02	2810001G20Rik	 	2810001G20Rik	RIKEN cDNA 2810001G20 gene	Other	other	 	
0.056	8.96E-01	2810002D19Rik	 	2810002D19Rik	RIKEN cDNA 2810002D19 gene	Other	other	 	
-0.312	2.34E-01	2810013P06Rik	 	2810013P06Rik	RIKEN cDNA 2810013P06 gene	Other	other	 	
-0.004	9.90E-01	2810021J22Rik	 	2810021J22Rik	RIKEN cDNA 2810021J22 gene	Other	other	 	
0.060	9.41E-01	2810403D21Rik	 	2810403D21Rik	RIKEN cDNA 2810403D21 gene	Other	other	 	
-0.297	6.48E-01	2810408A11Rik	 	2810408A11Rik	 	Other	other	 	
-0.066	8.78E-01	2810408I11Rik	 	2810408I11Rik	RIKEN cDNA 2810408I11 gene	Other	other	 	
-0.475	5.23E-01	2810454H06Rik	 	2810454H06Rik	RIKEN cDNA 2810454H06 gene	Other	other	 	
0.393	7.42E-01	2900005J15Rik	 	2900005J15Rik	RIKEN cDNA 2900005J15 gene	Other	other	 	
-0.449	5.19E-01	2900060B14Rik	 	2900060B14Rik	RIKEN cDNA 2900060B14 gene	Other	other	 	
-0.041	9.33E-01	2900076A07Rik	 	2900076A07Rik	RIKEN cDNA 2900076A07 gene	Other	other	 	
0.227	6.74E-01	3000002C10Rik	 	3000002C10Rik	glyceraldehyde-3-phosphate dehydrogenase pseudogene	Other	other	 	
-0.424	5.12E-01	3110045C21Rik	 	3110045C21Rik	RIKEN cDNA 3110045C21 gene	Other	other	 	
0.195	5.65E-01	3110056K07Rik	 	3110056K07Rik	RIKEN cDNA 3110056K07 gene	Other	other	 	
-0.030	9.78E-01	3830403N18Rik	 	3830403N18Rik/Xlr	X-linked lymphocyte-regulated	Nucleus	other	 	
-0.218	7.18E-01	4632404H12Rik	 	4632404H12Rik	RIKEN cDNA 4632404H12 gene	Other	other	 	
-0.176	5.36E-01	4632415L05Rik	 	4632415L05Rik	RRS1 ribosome biogenesis regulator homolog pseudogene	Other	other	 	
