"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"0610009B22Rik"	4.06332518992651	3.58781438851821	3.74517508067375	4.24429461951938	3.80533156073864	4.13144669927959	2.97544329589197	3.72462780843124	3.05627572641707	3.57560946213404	3.61065991362976	3.5899853732589
"0610009L18Rik"	0.273320456797593	0.789495890461808	1.17840154663563	-0.777505708566376	0.917516769507701	0.0490862531166968	2.38207219284775	1.97156134480197	2.40425739918603	1.72243512836939	1.65636630533185	1.93660575788524
"0610010F05Rik"	3.91624348521054	2.86161966016158	2.90973780990155	3.50137246458166	3.85294231848334	3.60139256218376	1.98724354217113	2.13664508314442	1.92802436961069	1.46520210111631	1.97170443569938	1.57539086001431
"0610010K14Rik"	6.80601451839396	6.84826756728487	6.84226288534757	6.98616460127257	7.04698761271838	7.03973276299651	6.85771167593311	6.9162288578486	6.83515413684571	6.83141903439926	6.74938889579851	6.96664395978519
"0610012G03Rik"	5.44908910616181	5.51270015835484	5.42231534432107	5.49187507086397	5.70263214719121	5.65715755126033	5.48667628830554	5.44962800479966	5.22727735705119	4.74686110346372	4.65131506416322	4.996116560465
"0610030E20Rik"	5.41687976080423	5.35054986267735	5.20059431485837	5.3866534665766	5.13933736875884	5.33731012441903	5.1509801690509	5.12649533147606	5.1879165356777	5.41049111467212	5.18291498079283	5.36042231811626
"0610039H22Rik"	1.41934719700765	1.6777219540659	1.39964690750306	0.91119998248467	0.835620212443009	1.25206143770653	1.96819580717384	2.55497909604723	2.51745589543511	2.24943944829885	2.03563339780861	1.93660575788524
"0610040B10Rik"	0.707499676067692	0.249984226342996	-0.200931851716274	-0.436270431034896	-0.535053130807962	0.173153244791836	1.57373246619574	0.896542899588712	0.585812556739939	0.70426549181461	1.06068952914388	0.680199611589798
"0610042G04Rik"	1.14514188234756	0.125841350947373	0.996621707936356	1.62014760279405	1.26906152557857	1.38630989977361	1.46922339644088	1.15795005919455	0.440267353106025	1.940669378417	1.10108958879437	1.69827356164832
"1110002L01Rik"	1.86360415136267	1.6777219540659	1.64184928521243	2.00290904753837	2.34144400704901	1.96895419095939	2.30825500726927	0.722714737240283	1.71247846806658	1.74580531141694	1.78592997131369	2.24150748476117
