gene	length	logFC	logCPM	F	PValue	FDR
Chtf18	3199	0.181725081	5.220209987	1.437377886	0.249999607	0.463060539
Rras	1431	-0.341539647	2.452737824	1.435031805	0.250368698	0.463360341
Plekha1	5280	0.182399768	5.201251278	1.434787301	0.250407205	0.463360341
Slc1a4	3926	0.35349409	1.830590881	1.432989053	0.250690657	0.463596479
Rpusd1	5033	0.160097695	4.987078865	1.433613119	0.25059224	0.463596479
Gtf2h2	2220	0.125466407	5.219683752	1.433185442	0.25065968	0.463596479
Rex1bd	806	-0.106308315	5.994602027	1.432932776	0.250699535	0.463596479
Mgat1	7494	-0.097297506	6.635374099	1.43252722	0.250763523	0.463638651
Champ1	4040	0.136413227	5.520452189	1.432151705	0.250822791	0.463672083
Tbca	550	0.146410955	6.608591855	1.431091571	0.250990213	0.463905405
Mlkl	2932	0.482376608	1.284612717	1.429422794	0.251254057	0.464316837
Dst	41151	-0.35857453	1.819055385	1.427802587	0.251510573	0.464333557
Ift74	3797	0.27951596	2.446889898	1.428388856	0.251417713	0.464333557
Tma7	637	0.128562866	8.02735295	1.427895742	0.251495815	0.464333557
Pef1	1551	-0.108057187	5.963254057	1.429040415	0.251314565	0.464333557
Arhgap27	5973	-0.099736571	6.539085835	1.428013948	0.25147709	0.464333557
Arap1	7248	-0.090889821	6.501853913	1.427887055	0.251497191	0.464333557
Gm6485	927	-0.303542311	2.148378078	1.426902856	0.251653172	0.464520644
Gm46371	20130	0.372993664	1.810448487	1.426613738	0.251699017	0.464529104
Gtf2h5	1859	0.126923929	6.657561751	1.425107586	0.251938026	0.464894
Bloc1s2	3169	0.09656386	6.35393341	1.424390882	0.252051864	0.465027841
Ccdc84	3496	-0.198023215	4.480258163	1.423730717	0.252156783	0.465105649
1700037H04Rik	1975	0.126858233	5.373448924	1.423605661	0.252176664	0.465105649
Cdin1	5710	-0.153638139	4.419202415	1.422110868	0.252414467	0.465467989
Ppp2r3a	11354	-0.412586608	0.649200265	1.419929865	0.252761973	0.466032476
Ier2	1522	-0.121948754	7.885450124	1.4188518	0.25293398	0.46607188
Tpp2	4726	0.102949146	7.064670231	1.41923723	0.252872466	0.46607188
Slc38a10	5481	-0.099454426	7.138064886	1.418758071	0.252948942	0.46607188
Tbc1d4	9499	0.098217586	8.926291558	1.419394566	0.252847361	0.46607188
Dnajc4	1162	-0.164406548	4.694266583	1.41759712	0.253134361	0.466337202
St8sia6	3161	0.386018749	2.975981942	1.415985988	0.253391981	0.466513971
Srpk2	9978	-0.114765064	6.237125096	1.416353453	0.253333192	0.466513971
Sin3a	5869	0.108029173	6.074746723	1.416345371	0.253334485	0.466513971
Nfkbib	2125	0.107196444	6.725294628	1.415960445	0.253396068	0.466513971
Malsu1	6493	0.121058805	5.470770079	1.41446634	0.253635291	0.466878043
Stk11ip	4634	-0.129110347	5.250184756	1.412908668	0.253885013	0.467261317
Cbx4	5197	-0.235301379	5.014827785	1.412283949	0.253985258	0.467357665
Arpc2	1646	-0.090132191	10.06999477	1.412065085	0.25402039	0.467357665
Stard5	2425	-0.111765681	5.292924226	1.411673106	0.254083327	0.467397075
Med27	3552	0.120238439	5.6014411	1.411297649	0.254143631	0.467431628
Stard7	8684	0.15515056	6.935926749	1.40993613	0.25436247	0.467757708
Pde1b	3809	-0.331045469	2.344707641	1.408631692	0.25457237	0.467991383
Cenpf	11365	-0.248796043	6.007716939	1.408517334	0.254590782	0.467991383
Cir1	1945	-0.183625958	4.544181091	1.408318458	0.254622807	0.467991383
