gene	length	logFC	logCPM	F	PValue	FDR
Dhx58	2480	-1.012094611	4.245455417	29.99539206	7.48E-05	0.002026381
Cd7	1042	-1.013442318	1.895971382	5.99702431	0.027744769	0.111713379
Gm30292	3002	-1.013948893	3.360441366	7.007190102	0.018835359	0.086345948
Cd200r3	8296	-1.015330465	0.892541889	8.723744822	0.010251436	0.057162293
Plekhg3	6914	-1.015570512	0.957840584	5.029715929	0.041203351	0.145185157
Cd53	2802	-1.0163095	9.434155347	46.6007431	7.26E-06	0.000495224
Smco4	1545	-1.017526633	5.323013576	34.15285633	3.87E-05	0.00134583
Plcb4	12740	-1.018063213	3.138138635	21.03627023	0.000398442	0.006444917
Atp6v1g3	1887	-1.01854501	0.679351055	2.960400516	0.106821224	0.27393863
Gm31111	2910	-1.024146396	0.369216288	4.712725579	0.047186998	0.159104346
Coro2b	5419	-1.025035076	3.291362826	9.282885088	0.008507553	0.05033002
Trbj2-4	49	-1.031408938	1.073551928	7.34856773	0.016611198	0.079740973
Rd3	9842	-1.036138786	1.644884884	12.25687693	0.003415396	0.027462078
Stx1a	3425	-1.036589971	1.137512815	10.21937357	0.006296271	0.040831463
L1cam	5693	-1.037556704	2.477488276	9.543781104	0.007812465	0.047362806
Gm32031	325	-1.039931414	1.419337312	5.997651596	0.027737883	0.111713379
A530088E08Rik	1795	-1.040674728	0.942510047	6.744142459	0.02078635	0.092612495
Gm14718	758	-1.045442017	3.599010946	20.91196891	0.000409032	0.006559661
Icos	4325	-1.04608414	9.179900257	126.1889318	1.69E-08	1.13E-05
Rasa3	4205	-1.046886407	7.058684972	56.54424181	2.41E-06	0.000251452
Rtn4rl1	3502	-1.048166338	2.330192834	15.37661828	0.001471993	0.015329971
E230032D23Rik	1195	-1.050517146	1.992988138	9.425641037	0.008118786	0.048800971
Gna15	2261	-1.053830943	3.726099651	19.5860356	0.000544501	0.007879397
Jdp2	2558	-1.05609807	1.412452089	7.377656785	0.016436156	0.079177685
Satb1	13246	-1.057674554	7.443490644	52.65734387	3.64E-06	0.000322441
6330403K07Rik	1598	-1.059755434	1.992476503	2.78920701	0.116574262	0.289775456
Tnip3	3769	-1.062995512	0.981291262	6.224162997	0.025376525	0.105270935
Cdc14b	11141	-1.063363229	3.384286022	28.47808288	9.67E-05	0.002352385
Chst10	3248	-1.063635131	5.381176088	101.3213151	6.92E-08	2.46E-05
Gm36681	4004	-1.067324517	1.607670564	11.88090072	0.003807917	0.0295856
Castor2	4769	-1.06928891	2.221510817	15.73660921	0.001344185	0.014522875
Susd4	3663	-1.070032475	0.434178673	4.561363515	0.050401267	0.166842572
Gm32046	1166	-1.0707967	0.266654206	4.553098955	0.050584063	0.167393179
Arid5b	9976	-1.072777006	5.566973331	39.45260276	1.81E-05	0.000851617
Gm51770	18656	-1.073447097	2.846342199	13.94366942	0.002139289	0.019994422
Hmox1	1576	-1.074216039	2.389775942	12.64139096	0.003061186	0.025538853
Bcl3	1846	-1.074684104	5.041042597	18.88907072	0.00063591	0.008677668
Tcp11l2	2400	-1.07513921	6.609461221	27.99628484	0.000105175	0.00251927
Sgpp2	4671	-1.07603989	1.130029082	5.416070521	0.035072013	0.130052939
Ctnnbip1	2787	-1.077021563	1.394215399	4.289264296	0.056852113	0.180955918
Cldn10	1446	-1.077413742	0.948404654	0.738642463	0.404233733	0.618235062
Crmp1	3436	-1.081376107	3.180423043	15.32345083	0.001492024	0.015469004
Gm15283	3105	-1.082890482	0.265999535	3.088449671	0.100167435	0.26204186
Gm38906	1321	-1.08331042	2.189963473	11.35500667	0.004447021	0.032615352
Grb7	4243	-1.087015916	1.924229916	15.27921504	0.001508928	0.015599181
Slc25a27	12394	-1.08891181	0.811150587	4.633330532	0.048841919	0.163046852
Cabcoco1	5034	-1.089198409	0.706707173	6.26771394	0.024949762	0.104185617
Ptrh1	1079	-1.09145986	3.403983904	20.48676285	0.000447766	0.006915271
1810062G17Rik	911	-1.095780316	0.334116814	4.177541152	0.059779963	0.187257323
S1pr1	3029	-1.096021026	7.845542041	119.2159565	2.45E-08	1.25E-05
Gab2	6008	-1.097541833	0.592827891	3.968847348	0.06574133	0.199378222
Gcnt1	6519	-1.098801358	1.295967454	3.580386924	0.078830276	0.224222144
Fcgr3	2799	-1.102519545	0.576812434	4.027022007	0.06401146	0.195879592
Gm46289	4985	-1.102721769	3.095739662	23.53155391	0.000240007	0.004571906
Gm5432	5251	-1.111095781	0.197049026	2.098506123	0.168953712	0.366207333
Gm34771	5091	-1.111694353	1.120717213	10.417285	0.0059183	0.039216141
Usp18	1771	-1.112500788	3.768805418	14.82279566	0.001696761	0.016934512
Slc22a17	6366	-1.113964433	0.643544569	3.773711258	0.071963197	0.211522891
Ifi206	3562	-1.114612298	6.077553887	33.83405822	4.06E-05	0.001368924
Npdc1	2687	-1.117690097	1.146957004	5.705375205	0.031173215	0.120311298
Ncmap	2445	-1.121539408	1.72118192	16.42412375	0.001133779	0.012998049
Gm16364	2619	-1.122328061	0.262661901	2.545110602	0.132430932	0.312992186
Capn2	3318	-1.122949601	5.753058842	79.42453168	3.16E-07	7.71E-05
Gm19585	1025	-1.123318512	5.932919502	25.42091201	0.000167288	0.003533459
LOC115490137	8110	-1.124631092	1.100188278	9.87412299	0.007024096	0.044029659
Gm26740	12704	-1.125402448	3.631311993	33.60508456	4.21E-05	0.001396798
Tbc1d30	13208	-1.129505282	2.357728397	7.982872709	0.013236317	0.068355255
Rapgef5	7489	-1.133803915	1.132480866	4.025917517	0.064043797	0.19592529
Itga3	5316	-1.133925001	0.837422967	7.794557903	0.014147762	0.071552336
Pdlim4	1253	-1.13601396	2.253991691	10.70599375	0.00541272	0.036931152
Fbln1	3859	-1.138376322	2.850179302	15.53090168	0.001415587	0.014980732
Slc26a11	3862	-1.140736229	5.295762887	71.80053765	5.85E-07	0.000111633
Gm30054	4918	-1.144964031	0.996942261	6.711045111	0.021048051	0.093290929
Mettl27	3127	-1.149163479	2.310711253	24.05405272	0.000216803	0.004289573
Arl5c	1673	-1.151938788	6.013948142	69.88789701	6.89E-07	0.000117456
Phactr2	10540	-1.151943358	4.325450343	45.07419975	8.74E-06	0.000538319
Timp2	3622	-1.152662277	4.754698042	62.76310617	1.31E-06	0.000181344
Sgk1	4158	-1.152910529	4.644311337	38.97939445	1.93E-05	0.000872624
Trpv6	2928	-1.153769149	1.258541107	11.88158992	0.003807152	0.0295856
Ripor2	10616	-1.154841281	7.761554841	96.48715573	9.43E-08	2.95E-05
Slc37a2	4436	-1.158155673	1.504896107	12.73875931	0.002978301	0.025045867
Gm38948	4782	-1.159401095	0.512710113	7.078766494	0.018341786	0.084836413
Slc36a3	1977	-1.16145082	0.451023286	6.029230757	0.027393804	0.110921462
Bcl6	5043	-1.162599801	5.890354755	49.45388354	5.20E-06	0.000385072
Jun	3187	-1.163026459	6.607614268	12.00237272	0.003675701	0.028816881
E230016M11Rik	1762	-1.164668486	0.520799249	7.625905955	0.015026055	0.074718784
Bambi-ps1	1215	-1.164736637	5.770441242	67.22910558	8.69E-07	0.000133824
Acot11	5876	-1.166566608	3.46258183	45.33114745	8.47E-06	0.000535501
Gm20717	2764	-1.167792218	0.673086369	5.881864426	0.029043249	0.115091807
Gm8369	2129	-1.168025349	5.116151346	33.80426198	4.08E-05	0.001371057
Nipal1	4205	-1.17186833	4.138266608	46.84973144	7.05E-06	0.00048376
LOC115490354	8592	-1.173475262	1.543663552	7.457749363	0.015965124	0.07774021
Mturn	5307	-1.175034902	3.383647154	23.64142558	0.000234901	0.004520539
Syt11	5783	-1.176539269	6.805946711	222.1974195	3.97E-10	4.47E-06
Frat2	2161	-1.179238838	1.857823854	4.981091909	0.04206071	0.147050396
Baiap3	6167	-1.1848971	1.804336723	12.63988928	0.003062485	0.025538853
Gm36851	3585	-1.185075052	0.811429226	7.030119866	0.018675585	0.08588568
Adamtsl4	4209	-1.190223278	1.15525041	6.889706804	0.019679248	0.089011238
Trav14-3	361	-1.190709433	0.602741137	5.130975918	0.039482737	0.140931089
Fosl2	7081	-1.191139166	0.542102184	4.706077466	0.047323016	0.159461991
Aldoc	2873	-1.192775388	3.691404471	6.292915984	0.024706615	0.103484016
Hid1	6349	-1.194752862	3.163335335	18.98923952	0.000621752	0.008599117
Trib2	4448	-1.195947054	7.461993158	95.75862638	9.89E-08	3.01E-05
B230118I11Rik	7105	-1.19742005	4.225388659	27.52265488	0.000114288	0.002683799
Gm30693	3068	-1.197765089	0.877183422	10.08585963	0.006566938	0.042029899
Gmfg	2451	-1.199236803	7.788822413	122.7333609	2.03E-08	1.25E-05
Gm34150	1228	-1.205008567	2.437356217	10.88577921	0.005122987	0.035605655
Cd27	1812	-1.205213636	7.216669107	66.26468633	9.48E-07	0.000142237
B3gnt5	5377	-1.206454722	2.289073752	12.15935595	0.003512558	0.027926823
Trav16	350	-1.2105281	1.0610011	8.985758028	0.009387536	0.053783654
Trib3	2051	-1.217086596	1.247905098	17.12955082	0.000956109	0.011598998
Jup	5396	-1.218024956	0.726539808	7.483329806	0.015817986	0.077423763
Tent5c	5680	-1.219505153	4.739913522	62.47934701	1.34E-06	0.000181344
Ly6a	1002	-1.222730363	8.197826596	27.36988335	0.000117418	0.002719931
Oas1a	2010	-1.223967922	3.608861908	40.82547958	1.50E-05	0.000768105
Selenop	2218	-1.226515262	7.0429226	120.9641411	2.23E-08	1.25E-05
Ifi209	3497	-1.228912675	6.928664458	39.11153603	1.89E-05	0.000871593
Slc12a8	4758	-1.230125473	1.260481501	10.94434694	0.005032479	0.035278051
Acsbg1	3375	-1.232042194	2.371676225	15.94409911	0.001276308	0.014073139
Tmem221	2285	-1.233509089	0.796589886	6.616350231	0.021818176	0.095315883
Mocos	5816	-1.239164069	1.268430396	5.286222784	0.037005336	0.13481537
Tbx6	1715	-1.241052395	0.883389418	4.247421997	0.057928358	0.182973824
Irs2	6794	-1.242603187	2.814316421	9.787758566	0.007220997	0.044864227
Adgrg5	3082	-1.246579712	0.813748516	3.202570012	0.094654882	0.252997309
