gene	length	logFC	logCPM	F	PValue	FDR
Ccr2	4725	-1.559377329	0.468353495	3.57322959	0.079099163	0.224759812
Ifi213	8794	-1.559624465	4.101492813	41.34816475	1.40E-05	0.000757855
Ropn1l	910	-1.568330399	0.991739028	18.89885329	0.000634511	0.008669555
Gm15411	18344	-1.572097145	1.093494476	14.07133594	0.002067481	0.019510229
Klf8	8902	-1.577395042	0.796471381	11.99491285	0.003683667	0.028839169
Ifit1	2638	-1.581490868	3.478872088	16.89134647	0.001012279	0.012021345
Frat1	2614	-1.583393418	2.593887579	14.75079278	0.001728773	0.017162726
Oas2	4293	-1.593293056	0.545873745	21.36352029	0.000372028	0.006157646
Septin10	5152	-1.594877649	0.506280601	18.7035194	0.000663122	0.008962092
Gm50596	1857	-1.597256609	0.722560926	9.303347949	0.008450532	0.05015081
Il18r1	5096	-1.597861899	1.336033691	7.901448742	0.013621824	0.069643279
Ttc39c	5915	-1.601437787	4.07387053	29.55216144	8.06E-05	0.002090353
Gm51710	5981	-1.612254745	1.194387376	23.55738188	0.000238795	0.004564273
Slc43a1	3880	-1.614995498	1.657434863	24.08714343	0.000215422	0.004269752
4930502C15Rik	38992	-1.630421325	0.381359447	5.663062363	0.031710596	0.121676173
Slc28a2b	4043	-1.63276923	5.708155832	34.90535449	3.46E-05	0.001267108
Aqp3	1763	-1.638721038	4.008749839	48.4594372	5.83E-06	0.00042348
Gm32081	619	-1.638754086	0.791648881	8.16226013	0.012430598	0.065486043
Gm46781	2619	-1.646768956	1.338978759	17.22464565	0.000934686	0.011405283
Pou6f1	5353	-1.656462309	1.978968873	20.06494719	0.000490386	0.007370849
Kcnmb3	8336	-1.660544508	2.068661887	17.54114504	0.000867242	0.010824177
Slfn5	6354	-1.6674741	5.775908812	154.6999932	4.47E-09	1.13E-05
Ifit3	2678	-1.673475876	1.842580408	11.84256612	0.003850769	0.029754264
D930028M14Rik	1074	-1.674232279	0.904493011	13.28172148	0.002560678	0.022521959
Kcna2	14395	-1.678672265	3.150028833	77.87914342	3.57E-07	8.03E-05
