NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP	200	173		
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN	200	173		
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP	200	169		
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	200	155		
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	164		
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN	200	161		
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP	200	174		
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN	200	137		
KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP	200	175		
KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN	199	171		
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP	200	127		
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN	200	166		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	200	185		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	155		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	180		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	200	150		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	200	169		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	200	172		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	199	170		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	200	61		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	178		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN	198	103		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	199	171		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	160		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	172		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	163		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	200	101		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	183		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	100		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	183		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	200	139		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	199	130		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP	199	178		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN	200	178		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	199	147		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	200	183		
GSE10325_CD4_TCELL_VS_BCELL_UP	198	153		
GSE10325_CD4_TCELL_VS_BCELL_DN	194	95		
GSE10325_CD4_TCELL_VS_MYELOID_UP	199	156		
GSE10325_CD4_TCELL_VS_MYELOID_DN	200	100		
GSE10325_BCELL_VS_MYELOID_UP	196	132		
GSE10325_BCELL_VS_MYELOID_DN	200	90		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	199	150		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	195	91		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	199	154		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	200	90		
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	194	141		
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	200	104		
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	197	133		
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	199	119		
GSE10325_BCELL_VS_LUPUS_BCELL_UP	194	73		
GSE10325_BCELL_VS_LUPUS_BCELL_DN	200	149		
GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	196	61		
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	200	137		
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	194	104		
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	183	60		
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP	187	107		
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	195	130		
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	198	113		
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	197	147		
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	196	96		
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	199	168		
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP	197	128		
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN	197	142		
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP	199	103		
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	188	122		
GSE11057_CD4_EFF_MEM_VS_PBMC_UP	199	150		
GSE11057_CD4_EFF_MEM_VS_PBMC_DN	194	105		
GSE11057_CD4_CENT_MEM_VS_PBMC_UP	197	154		
GSE11057_CD4_CENT_MEM_VS_PBMC_DN	195	104		
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	195	102		
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	198	166		
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	197	64		
GSE11057_PBMC_VS_MEM_CD4_TCELL_DN	197	145		
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	196	128		
GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN	197	133		
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP	193	135		
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN	200	136		
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	197	147		
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	198	134		
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	198	152		
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	199	132		
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	197	121		
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN	196	124		
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	196	133		
