NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN	GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN		18	-0.63631934	-1.6316578	0.01372549	0.0038883877	0.93	1732	tags=39%, list=16%, signal=46%	
GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN	GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN		155	-0.4293941	-1.6316334	0.001934236	0.0038863337	0.93	1385	tags=23%, list=13%, signal=26%	
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP	GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP		100	-0.46266875	-1.6310354	0.0	0.003911325	0.93	1948	tags=30%, list=19%, signal=36%	
GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_DN	GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_DN		174	-0.43249142	-1.6306214	0.0	0.00392717	0.93	2036	tags=35%, list=19%, signal=43%	
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP	GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP		88	-0.4734595	-1.6303501	0.001908397	0.00393706	0.93	1625	tags=36%, list=15%, signal=43%	
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP	GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP		160	-0.43459702	-1.6296571	0.0	0.003976893	0.931	1554	tags=29%, list=15%, signal=33%	
GSE17721_CTRL_VS_CPG_24H_BMDC_UP	GSE17721_CTRL_VS_CPG_24H_BMDC_UP		109	-0.4603199	-1.628748	0.0	0.004015145	0.932	1583	tags=26%, list=15%, signal=30%	
GSE14350_TREG_VS_TEFF_UP	GSE14350_TREG_VS_TEFF_UP		182	-0.43064094	-1.6286938	0.0	0.004014456	0.932	2149	tags=36%, list=20%, signal=45%	
GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP	GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP		123	-0.45471314	-1.6286699	0.0	0.004012232	0.932	1219	tags=26%, list=12%, signal=29%	
GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP		148	-0.43491042	-1.6284027	0.0	0.0040249974	0.933	1143	tags=20%, list=11%, signal=22%	
GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_DN	GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_DN		86	-0.47266674	-1.6277002	0.0018867925	0.004052492	0.935	1782	tags=34%, list=17%, signal=40%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP		153	-0.43925688	-1.6274859	0.0	0.0040517068	0.936	2071	tags=32%, list=20%, signal=39%	
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_UP	GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_UP		175	-0.42523754	-1.6271992	0.0	0.004055409	0.938	1208	tags=27%, list=11%, signal=30%	
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP	GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP		142	-0.43689275	-1.6256652	0.0	0.0041262256	0.939	1352	tags=23%, list=13%, signal=26%	
GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP	GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP		146	-0.43325025	-1.6255555	0.0	0.004128285	0.94	1812	tags=36%, list=17%, signal=42%	
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP	GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP		135	-0.44224346	-1.6254177	0.0019267823	0.004124462	0.94	1589	tags=33%, list=15%, signal=38%	
GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN	GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN		166	-0.42876673	-1.6242253	0.0	0.0041782367	0.942	1737	tags=28%, list=17%, signal=33%	
GSE27786_BCELL_VS_NKTCELL_DN	GSE27786_BCELL_VS_NKTCELL_DN		142	-0.4379059	-1.6242241	0.0019011407	0.0041728797	0.942	2219	tags=39%, list=21%, signal=48%	
GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_UP	GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_UP		87	-0.47149116	-1.6236684	0.0	0.004202831	0.942	2357	tags=45%, list=22%, signal=57%	
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN		167	-0.42481428	-1.6221824	0.0	0.0042826394	0.945	2265	tags=33%, list=22%, signal=41%	
GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_DN	GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_DN		96	-0.46343875	-1.6217887	0.003787879	0.004296325	0.945	1484	tags=28%, list=14%, signal=32%	
GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_DN	GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_DN		144	-0.43731928	-1.621202	0.0018939395	0.004336258	0.948	1896	tags=32%, list=18%, signal=38%	
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP	GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP		154	-0.4312733	-1.6211565	0.0	0.0043307347	0.948	1463	tags=31%, list=14%, signal=36%	
GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_UP	GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_UP		156	-0.42786613	-1.6207765	0.0018691589	0.004341406	0.948	1826	tags=33%, list=17%, signal=39%	
GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP	GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP		162	-0.42989483	-1.6206403	0.0	0.004338764	0.948	2935	tags=42%, list=28%, signal=57%	
GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN	GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN		164	-0.42874092	-1.6203438	0.0	0.0043508	0.948	1418	tags=27%, list=13%, signal=31%	
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP	GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP		82	-0.47460297	-1.6203126	0.0	0.0043452857	0.948	2485	tags=43%, list=24%, signal=55%	
GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP	GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP		81	-0.47377285	-1.6199628	0.003690037	0.0043631545	0.949	994	tags=22%, list=9%, signal=24%	
GSE3039_CD4_TCELL_VS_B1_BCELL_DN	GSE3039_CD4_TCELL_VS_B1_BCELL_DN		95	-0.46168914	-1.6194427	0.0018796993	0.004392434	0.95	2472	tags=42%, list=24%, signal=55%	
GSE24210_TCONV_VS_TREG_UP	GSE24210_TCONV_VS_TREG_UP		116	-0.4504454	-1.6194348	0.0037950664	0.0043898136	0.951	2123	tags=38%, list=20%, signal=47%	
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN		166	-0.42805982	-1.6194271	0.0037523452	0.004384278	0.951	1261	tags=25%, list=12%, signal=28%	
GSE3039_ALPHAALPHA_CD8_TCELL_VS_B2_BCELL_UP	GSE3039_ALPHAALPHA_CD8_TCELL_VS_B2_BCELL_UP		120	-0.44866616	-1.6184667	0.0019157088	0.0044295113	0.955	1178	tags=24%, list=11%, signal=27%	
GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_DN	GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_DN		155	-0.4307645	-1.6178495	0.0018552876	0.0044543347	0.957	2441	tags=35%, list=23%, signal=46%	
GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP		138	-0.4382266	-1.6170691	0.0	0.004514059	0.959	1609	tags=29%, list=15%, signal=34%	
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_DN	GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_DN		142	-0.43552867	-1.6167734	0.0	0.004528649	0.959	2106	tags=33%, list=20%, signal=41%	
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP	GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP		131	-0.439295	-1.6165977	0.0	0.0045388886	0.959	1300	tags=21%, list=12%, signal=23%	
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP	GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP		78	-0.47102794	-1.6154416	0.0	0.004597855	0.959	1568	tags=28%, list=15%, signal=33%	
GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_UP	GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_UP		130	-0.4410574	-1.6152456	0.0	0.004594952	0.96	1690	tags=27%, list=16%, signal=32%	
