NAME	TITLE	SCORE	
UQCC2		2.1178205	
SREK1		2.115713	
HNRNPA3		2.115518	
YBX3		2.1144207	
MRPL32		2.1141543	
MRFAP1		2.113659	
TG		2.1136372	
ZFP280C		2.1123261	
MRPL11		2.1115131	
DPY30		2.1101117	
RPL27A		2.1094158	
PLAGL2		2.1075215	
FKTN		2.1074107	
GLMN		2.1042824	
RPL22L1		2.1023703	
E2F3		2.1021838	
MRPL2		2.1019871	
PHYKPL		2.100639	
UBE2N		2.09593	
CAR12		2.0952048	
KAT2A		2.0951543	
CCDC101		2.090385	
GBP3		2.0845625	
SRSF10		2.0844557	
ALDH18A1		2.0833988	
CCDC6		2.081502	
NMD3		2.0798726	
TSPAN13		2.07953	
2310057M21RIK		2.0786235	
PPP2R1B		2.0753365	
ERP29		2.074425	
RPL11		2.0743337	
PHF5A		2.0728145	
ITPRIPL1		2.0724282	
RCC1		2.0711887	
ZFP958		2.0703707	
HMBS		2.069684	
CCNH		2.068928	
HAT1		2.0677862	
POLDIP2		2.0663636	
UQCRB		2.0660937	
LRPPRC		2.0660818	
NSUN5		2.0657244	
PNPT1		2.0655687	
RABGAP1L		2.0648324	
IFNG		2.0643883	
FANCF		2.063984	
DHX15		2.0629199	
MYDGF		2.0599897	
BSG		2.05541	
DANCR		2.0521326	
TARDBP		2.0440648	
NIF3L1		2.0434482	
SLC16A1		2.0429223	
TANGO6		2.0426126	
CHRM4		2.040892	
CCDC107		2.039822	
PAICS		2.0372884	
UQCR11		2.037144	
SIVA1		2.0341873	
FYTTD1		2.0340111	
MRPL22		2.032846	
ISYNA1		2.0262086	
SAMM50		2.0257704	
DTWD2		2.0244348	
BZW2		2.0240467	
GPR55		2.0223238	
RPS9		2.0218017	
KARS		2.0195851	
SUZ12		2.0155036	
MRPS33		2.014959	
FASN		2.014077	
EEF1B2		2.0136619	
ORC6		2.0106232	
CCND3		2.010055	
B230118H07RIK		2.0086389	
CNOT4		2.0062542	
MEX3C		2.0056536	
CHCHD1		2.0045724	
CLUAP1		2.003946	
NXT1		2.0038512	
RALBP1		2.003247	
RARS		2.0031977	
AARSD1		2.0029414	
ERI3		2.0027444	
CEBPZ		2.0026517	
BOLA2		1.99945	
PDCD4		1.9993435	
HPRT		1.9962127	
MS4A6C		1.9961857	
DDX20		1.9915824	
BCL2A1B		1.9871912	
TELO2		1.9853799	
MED22		1.9852086	
ABHD11		1.9846319	
HAX1		1.9827694	
TARS2		1.98139	
TESK1		1.9800527	
SRP72		1.9754872	
POLR3F		1.9754797	
PPM1G		1.9743668	
DUT		1.9733777	
SLC29A2		1.9699332	
SNRNP70		1.9692658	
ZC3H15		1.9690244	
MT1		1.9684587	
SMN1		1.9678218	
TMEM97		1.9650577	
NDUFAF5		1.9645627	
CDC37		1.9629452	
RPTOR		1.9589121	
RABL6		1.9562081	
NUTF2		1.9547337	
GYK		1.9510878	
TRIM28		1.9500844	
ZFP213		1.9498827	
EPT1		1.9495232	
CHDH		1.9485068	
ABHD6		1.947605	
PRPSAP1		1.9454565	
ZCCHC10		1.9453194	
SNRPD2		1.9434587	
XRCC5		1.9415954	
SNHG17		1.9403957	
APRT		1.9387704	
TGS1		1.9362365	
YARS		1.9361349	
MTFR1		1.9359295	
UBE2G2		1.93353	
NUDT19		1.9328644	
USP37		1.931537	
TTC3		1.9311144	
RIOK2		1.9306474	
TTC1		1.9297779	
RPP25L		1.9246892	
PTGES3L		1.9245098	
SUMO3		1.9235823	
PCMT1		1.9219259	
TSFM		1.9171293	
ACTG2		1.9162292	
DNAJA3		1.9157612	
HNRNPD		1.9044472	
GALM		1.9043628	
IGSF23		1.9031323	
DUSP4		1.90001	
TNFRSF8		1.898692	
AASDHPPT		1.8984554	
PSMA2		1.8967484	
NOA1		1.8960367	
PLBD2		1.8913261	
SPRYD4		1.8895631	
TXNRD2		1.8890224	
EEF2KMT		1.8885311	
EIF2B4		1.8880228	
NPEPL1		1.8835216	
DHX37		1.8803589	
THG1L		1.8776542	
MTG1		1.876419	
IPO11		1.8727981	
NANS		1.8713843	
BST2		1.871147	
STK39		1.8710426	
HILPDA		1.8690367	
HEATR1		1.8687712	
U2AF1		1.8673869	
SLC3A2		1.865608	
EMC4		1.8649405	
BCL2		1.864921	
RPE		1.8635019	
FASTKD2		1.8634841	
AEN		1.8624737	
D830031N03RIK		1.8618957	
EIF3B		1.8578279	
D030028A08RIK		1.8573178	
PRADC1		1.8556005	
P4HB		1.8542494	
SMIM10L1		1.8536011	
GATC		1.8522753	
ST3GAL4		1.8521029	
RRS1		1.8490773	
NADK		1.8482177	
PRDX6		1.8451076	
SNORA65		1.8450935	
RRP12		1.8441919	
PWP1		1.8423036	
TBL1XR1		1.8414052	
COQ5		1.8402908	
RPL12		1.8383545	
MAPK1IP1L		1.8366501	
PSMA1		1.8360759	
PPWD1		1.8353652	
DNAJA1		1.8322237	
ATP5O		1.8301808	
MINA		1.8300201	
