NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_DN	GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_DN		123	0.26602656	0.97649986	0.5276074	0.6075393	1.0	2253	tags=24%, list=21%, signal=30%	
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN		81	0.28162333	0.9761337	0.50211865	0.6083539	1.0	1901	tags=31%, list=18%, signal=37%	
GSE20715_0H_VS_24H_OZONE_LUNG_DN	GSE20715_0H_VS_24H_OZONE_LUNG_DN		97	0.27322143	0.975609	0.50959486	0.6096691	1.0	2626	tags=40%, list=25%, signal=53%	
GSE28737_WT_VS_BCL6_HET_MARGINAL_ZONE_BCELL_DN	GSE28737_WT_VS_BCL6_HET_MARGINAL_ZONE_BCELL_DN		122	0.26626223	0.9753402	0.50317127	0.6101538	1.0	1963	tags=30%, list=19%, signal=37%	
GSE17721_12H_VS_24H_POLYIC_BMDC_UP	GSE17721_12H_VS_24H_POLYIC_BMDC_UP		140	0.2581414	0.9745172	0.5430862	0.6124041	1.0	1959	tags=20%, list=19%, signal=24%	
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE	ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE		51	0.30620942	0.9744675	0.49604744	0.612194	1.0	2373	tags=27%, list=23%, signal=35%	
GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN	GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN		84	0.276732	0.97428215	0.50715744	0.61239207	1.0	1716	tags=23%, list=16%, signal=27%	
GSE17721_LPS_VS_CPG_2H_BMDC_DN	GSE17721_LPS_VS_CPG_2H_BMDC_DN		121	0.2655372	0.97419524	0.49713194	0.6122949	1.0	1696	tags=22%, list=16%, signal=26%	
GSE19401_PAM2CSK4_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_UP	GSE19401_PAM2CSK4_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_UP		108	0.26752564	0.9741908	0.49356222	0.6119408	1.0	2034	tags=21%, list=19%, signal=26%	
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_DN	GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_DN		137	0.25796425	0.97391456	0.5194274	0.61243343	1.0	1611	tags=16%, list=15%, signal=19%	
GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN	GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN		154	0.25696436	0.9735657	0.54	0.61320746	1.0	2061	tags=24%, list=20%, signal=29%	
GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN	GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN		160	0.25572962	0.97312474	0.5021739	0.6142819	1.0	709	tags=12%, list=7%, signal=13%	
GSE21927_C26GM_VS_4T1_TUMOR_MONOCYTE_BALBC_UP	GSE21927_C26GM_VS_4T1_TUMOR_MONOCYTE_BALBC_UP		133	0.26230565	0.9730974	0.5313808	0.61401063	1.0	1145	tags=16%, list=11%, signal=17%	
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN		180	0.24934164	0.9729818	0.5493562	0.6140232	1.0	1558	tags=17%, list=15%, signal=19%	
GSE2585_THYMIC_DC_VS_MTEC_DN	GSE2585_THYMIC_DC_VS_MTEC_DN		113	0.26626486	0.97154194	0.5233463	0.6182096	1.0	1856	tags=22%, list=18%, signal=27%	
GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP	GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP		135	0.25853533	0.97138685	0.51380044	0.6183357	1.0	1680	tags=17%, list=16%, signal=20%	
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN		123	0.2639584	0.9713663	0.56082475	0.61804086	1.0	1905	tags=24%, list=18%, signal=28%	
GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP	GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP		164	0.25291198	0.97093695	0.5334728	0.6190617	1.0	2414	tags=29%, list=23%, signal=37%	
GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN		150	0.25397074	0.9706878	0.54102	0.61949795	1.0	1925	tags=20%, list=18%, signal=24%	
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_DN	GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_DN		147	0.25848636	0.969316	0.5062241	0.6234231	1.0	955	tags=13%, list=9%, signal=14%	
GSE14769_40MIN_VS_360MIN_LPS_BMDM_UP	GSE14769_40MIN_VS_360MIN_LPS_BMDM_UP		169	0.25051808	0.969196	0.53978497	0.6234373	1.0	1659	tags=21%, list=16%, signal=24%	
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP	GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP		123	0.2603502	0.9691676	0.52248394	0.6231702	1.0	2178	tags=27%, list=21%, signal=33%	
GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN	GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN		131	0.26047134	0.96875274	0.53413653	0.62412876	1.0	1052	tags=11%, list=10%, signal=13%	
GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_DN	GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_DN		151	0.2539162	0.9683392	0.54115224	0.6250628	1.0	905	tags=15%, list=9%, signal=16%	
GSE36826_WT_VS_IL1R_KO_SKIN_DN	GSE36826_WT_VS_IL1R_KO_SKIN_DN		140	0.25918946	0.9679791	0.5156576	0.6258947	1.0	1760	tags=23%, list=17%, signal=27%	
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE	NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE		285	0.23532882	0.96772844	0.5510204	0.6263355	1.0	1132	tags=17%, list=11%, signal=18%	
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN	GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN		155	0.25617823	0.96728843	0.5441176	0.62734723	1.0	2243	tags=28%, list=21%, signal=35%	
GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_MACROPHAGE_DN	GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_MACROPHAGE_DN		155	0.2523885	0.96685463	0.54140127	0.62839437	1.0	1661	tags=16%, list=16%, signal=19%	
