NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	75	-0.53519905	-1.8040152	0.0	0.012675063	0.008	1119	tags=43%, list=11%, signal=47%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	150	-0.4582268	-1.70589	0.0	0.024316669	0.031	1364	tags=35%, list=13%, signal=40%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	59	-0.5256538	-1.6788449	0.001934236	0.019351948	0.038	1078	tags=34%, list=10%, signal=38%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	91	-0.46593016	-1.6298699	0.0	0.02459485	0.065	1597	tags=36%, list=15%, signal=42%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	73	-0.4801424	-1.6250627	0.001968504	0.01999969	0.066	2066	tags=41%, list=20%, signal=51%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	115	-0.41054878	-1.4577022	0.009823183	0.095822476	0.347	1081	tags=25%, list=10%, signal=28%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	53	-0.4541078	-1.4335	0.02970297	0.10367275	0.413	1281	tags=21%, list=12%, signal=24%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	51	-0.4402081	-1.3796536	0.065259114	0.1436362	0.567	2376	tags=41%, list=23%, signal=53%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	89	-0.39187574	-1.3630841	0.034358047	0.14615013	0.625	1896	tags=31%, list=18%, signal=38%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	112	-0.35074618	-1.2722591	0.07509881	0.27980983	0.877	1722	tags=21%, list=16%, signal=25%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	116	-0.34235775	-1.2514167	0.08193669	0.29456678	0.917	1582	tags=29%, list=15%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	112	-0.34785378	-1.2470577	0.092369474	0.2787621	0.921	1250	tags=28%, list=12%, signal=31%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	142	-0.33812037	-1.244833	0.07364341	0.26130307	0.924	1573	tags=23%, list=15%, signal=26%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	84	-0.34409308	-1.2039372	0.12452107	0.32116887	0.968	1274	tags=24%, list=12%, signal=27%	
