NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	136		
HALLMARK_HYPOXIA	200	116		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	51		
HALLMARK_MITOTIC_SPINDLE	199	178		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	27		
HALLMARK_TGF_BETA_SIGNALING	54	38		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	59		
HALLMARK_DNA_REPAIR	150	134		
HALLMARK_G2M_CHECKPOINT	200	175		
HALLMARK_APOPTOSIS	161	115		
HALLMARK_NOTCH_SIGNALING	32	19		
HALLMARK_ADIPOGENESIS	200	155		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	113		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	114		
HALLMARK_ANDROGEN_RESPONSE	100	76		
HALLMARK_MYOGENESIS	200	73		
HALLMARK_PROTEIN_SECRETION	96	80		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	75		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	150		
HALLMARK_APICAL_JUNCTION	200	89		
HALLMARK_APICAL_SURFACE	44	15		
HALLMARK_HEDGEHOG_SIGNALING	36	19		
HALLMARK_COMPLEMENT	200	112		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	97		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	91		
HALLMARK_MTORC1_SIGNALING	200	175		
HALLMARK_E2F_TARGETS	200	186		
HALLMARK_MYC_TARGETS_V1	200	191		
HALLMARK_MYC_TARGETS_V2	58	57		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	63		
HALLMARK_INFLAMMATORY_RESPONSE	200	103		
HALLMARK_XENOBIOTIC_METABOLISM	200	112		
HALLMARK_FATTY_ACID_METABOLISM	158	110		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	174		
HALLMARK_GLYCOLYSIS	200	127		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	38		
HALLMARK_P53_PATHWAY	200	150		
HALLMARK_UV_RESPONSE_UP	158	106		
HALLMARK_UV_RESPONSE_DN	144	84		
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_HEME_METABOLISM	200	142		
HALLMARK_COAGULATION	138	53		
HALLMARK_IL2_STAT5_SIGNALING	199	161		
HALLMARK_BILE_ACID_METABOLISM	112	62		
HALLMARK_PEROXISOME	104	74		
HALLMARK_ALLOGRAFT_REJECTION	200	120		
HALLMARK_SPERMATOGENESIS	135	63		
HALLMARK_KRAS_SIGNALING_UP	200	91		
HALLMARK_KRAS_SIGNALING_DN	200	51		
HALLMARK_PANCREAS_BETA_CELLS	40		Rejected!	
