NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	42	27		
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	88	74		
GOBP_MITOPHAGY	34	28		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	9		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	35	34		
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	37	33		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15	15		
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24	24		
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27	27		
GOBP_MATURATION_OF_LSU_RRNA	28	27		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15	15		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	12		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	10		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	43		Rejected!	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	17		Rejected!	
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15	15		
GOBP_TELOMERE_MAINTENANCE	132	118		
GOBP_RECOMBINATIONAL_REPAIR	164	137		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	19	16		
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	37	30		
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	26	17		
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	207	165		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	1004	450		
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	711	307		
GOBP_CYTOKINESIS	174	118		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	123	105		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	49	44		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	20	19		
