NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	Details ...	24	0.73344517	2.0145762	0.0	4.9489574E-4	0.057	2085	tags=79%, list=20%, signal=99%	
GOBP_RNA_METHYLATION	GOBP_RNA_METHYLATION	Details ...	67	0.60228103	2.01254	0.0	5.321065E-4	0.062	1170	tags=30%, list=11%, signal=33%	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	GOBP_MITOCHONDRIAL_RNA_PROCESSING	Details ...	19	0.78651816	2.01213	0.0	5.267317E-4	0.062	1371	tags=53%, list=13%, signal=60%	
GOMF_STRUCTURAL_MOLECULE_ACTIVITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY	Details ...	299	0.49465424	2.0103626	0.0	5.2146445E-4	0.062	2169	tags=46%, list=21%, signal=56%	
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR	HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR		25	0.7263476	2.005637	0.0	5.6581054E-4	0.067	2022	tags=68%, list=19%, signal=84%	
HP_PERSISTENCE_OF_HEMOGLOBIN_F	HP_PERSISTENCE_OF_HEMOGLOBIN_F		24	0.7320112	2.0040221	0.0	5.764557E-4	0.069	2022	tags=71%, list=19%, signal=88%	
GOCC_RNA_POLYMERASE_III_COMPLEX	GOCC_RNA_POLYMERASE_III_COMPLEX		18	0.7707987	1.997448	0.0	6.8348664E-4	0.082	1500	tags=67%, list=14%, signal=78%	
GOCC_RESPIRASOME	GOCC_RESPIRASOME		72	0.58731973	1.9923935	0.0	7.4882264E-4	0.091	2423	tags=51%, list=23%, signal=66%	
HP_ABNORMALITY_OF_THE_MITOCHONDRION	HP_ABNORMALITY_OF_THE_MITOCHONDRION		141	0.5323398	1.9910297	0.0	7.4950233E-4	0.092	2791	tags=48%, list=27%, signal=64%	
GOCC_POLYSOME	GOCC_POLYSOME		55	0.60973793	1.9904147	0.0	7.4243156E-4	0.092	2040	tags=56%, list=19%, signal=70%	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION		27	0.68634593	1.9896363	0.0	7.4332894E-4	0.093	1326	tags=48%, list=13%, signal=55%	
GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY	GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY		115	0.5410766	1.9890037	0.0	7.440835E-4	0.094	1687	tags=33%, list=16%, signal=39%	
