© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules	
Ethanol Degradation IV	3.89E-01	4.17E-02	NaN	ACSS1	
Prolactin Signaling	3.89E-01	2.33E-02	NaN	JUN,SOCS3	
eNOS Signaling	3.86E-01	1.89E-02	NaN	ADCY6,AQP3,CNGA1	
BMP signaling pathway	3.86E-01	2.3E-02	NaN	JUN,RUNX2	
NRF2-mediated Oxidative Stress Response	3.85E-01	1.69E-02	NaN	CYP2S1,HMOX1,JUN,MAFG	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.85E-01	4E-02	NaN	SOCS3	
Bupropion Degradation	3.85E-01	4E-02	NaN	CYP2S1	
IL-17A Signaling in Gastric Cells	3.78E-01	3.85E-02	NaN	JUN	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	3.78E-01	3.85E-02	NaN	IFNG	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	3.78E-01	3.85E-02	NaN	PLCB4	
Gluconeogenesis I	3.78E-01	3.85E-02	NaN	ENO3	
Acute Myeloid Leukemia Signaling	3.75E-01	2.2E-02	NaN	KIT,TCF4	
Apelin Adipocyte Signaling Pathway	3.75E-01	2.2E-02	NaN	ADCY6,NCF1	
Glycolysis I	3.7E-01	3.7E-02	NaN	ENO3	
IL-4 Signaling	3.65E-01	2.15E-02	NaN	HLA-A,HLA-DOB	
Tryptophan Degradation III (Eukaryotic)	3.6E-01	3.57E-02	NaN	CYP2S1	
Germ Cell-Sertoli Cell Junction Signaling	3.54E-01	1.75E-02	NaN	TGFB3,TUBB2B,TUBB6	
Death Receptor Signaling	3.51E-01	2.08E-02	NaN	FASLG,TNFRSF25	
Dendritic Cell Maturation	3.48E-01	1.35E-02	0.707	CD83,CD86,HLA-A,HLA-DOB,IL18,IRF8,LTA,PLCB4	
Melanocyte Development and Pigmentation Signaling	3.46E-01	2.04E-02	NaN	ADCY6,KIT	
Salvage Pathways of Pyrimidine Ribonucleotides	3.46E-01	2.04E-02	NaN	CMPK2,SGK1	
UVA-Induced MAPK Signaling	3.46E-01	2.04E-02	NaN	JUN,PLCB4	
Tight Junction Signaling	3.33E-01	1.69E-02	NaN	JUN,STX1A,TGFB3	
Sumoylation Pathway	3.19E-01	1.94E-02	NaN	FASLG,JUN	
IGF-1 Signaling	3.15E-01	1.92E-02	NaN	JUN,SOCS3	
Signaling by Rho Family GTPases	3.12E-01	1.49E-02	NaN	GNA15,ITGA7,JUN,NCF1	
4-1BB Signaling in T Lymphocytes	3.12E-01	2.94E-02	NaN	JUN	
Inhibition of Angiogenesis by TSP1	3.12E-01	2.94E-02	NaN	JUN	
Role of JAK2 in Hormone-like Cytokine Signaling	3.12E-01	2.94E-02	NaN	SOCS3	
Ethanol Degradation II	3.12E-01	2.94E-02	NaN	ACSS1	
Coagulation System	3.06E-01	2.86E-02	NaN	SERPINC1	
α-Adrenergic Signaling	3.06E-01	1.85E-02	NaN	ADCY6,GNA15	
Pyrimidine Ribonucleotides Interconversion	3.06E-01	2.86E-02	NaN	CMPK2	
Graft-versus-Host Disease Signaling	3.05E-01	1.35E-02	NaN	CD86,FASLG,HLA-A,HLA-DOB,IFNG,IL18	
Xenobiotic Metabolism CAR Signaling Pathway	3.04E-01	1.58E-02	NaN	CHST10,CHST15,RXRA	
MIF-mediated Glucocorticoid Regulation	3.04E-01	2.78E-02	NaN	CD74	
Protein Ubiquitination Pathway	3.04E-01	1.45E-02	NaN	HLA-A,IFNG,USP18,USP35	
Leukocyte Extravasation Signaling	3.04E-01	1.55E-02	NaN	NCF1,TIMP2,VCAM1	
Clathrin-mediated Endocytosis Signaling	3.04E-01	1.55E-02	NaN	HIP1,MYO1E,MYO6	
Xenobiotic Metabolism PXR Signaling Pathway	3.04E-01	1.55E-02	NaN	CHST10,CHST15,RXRA	
TWEAK Signaling	3.04E-01	2.7E-02	NaN	TNFRSF25	
Pyrimidine Ribonucleotides De Novo Biosynthesis	3.04E-01	2.7E-02	NaN	CMPK2	
Glutathione-mediated Detoxification	3.04E-01	2.7E-02	NaN	HPGDS	
Antioxidant Action of Vitamin C	3.04E-01	1.79E-02	NaN	HMOX1,PLCB4	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.01E-01	1.54E-02	NaN	TCF4,TGFB3,WNT10A	
IL-17A Signaling in Fibroblasts	3.01E-01	2.63E-02	NaN	JUN	
Notch Signaling	3.01E-01	2.63E-02	NaN	HES5	
Acetone Degradation I (to Methylglyoxal)	2.85E-01	2.5E-02	NaN	CYP2S1	
Nitric Oxide Signaling in the Cardiovascular System	2.78E-01	1.68E-02	NaN	CACNA2D4,CACNB1	
April Mediated Signaling	2.71E-01	2.38E-02	NaN	JUN	
Renin-Angiotensin Signaling	2.68E-01	1.64E-02	NaN	ADCY6,JUN	
B Cell Activating Factor Signaling	2.67E-01	2.33E-02	NaN	JUN	
T Cell Exhaustion Signaling Pathway	2.67E-01	1.24E-02	0.447	BCL6,CD86,HLA-A,HLA-DOB,IFNG,JUN,TBX21	
FXR/RXR Activation	2.58E-01	1.59E-02	NaN	IL18,RXRA	
Pancreatic Adenocarcinoma Signaling	2.58E-01	1.59E-02	NaN	HMOX1,TGFB3	
Estrogen Biosynthesis	2.58E-01	2.22E-02	NaN	CYP2S1	
Serotonin Receptor Signaling	2.58E-01	2.22E-02	NaN	ADCY6	
Th17 Activation Pathway	2.56E-01	1.24E-02	-0.816	AHR,IFNG,IL1R1,IL21,RORC,SOCS3	
nNOS Signaling in Neurons	2.48E-01	2.13E-02	NaN	CAPN2	
Calcium Signaling	2.48E-01	1.38E-02	NaN	CACNA2D4,CACNB1,RYR1	
Synaptic Long Term Potentiation	2.48E-01	1.53E-02	NaN	GNA15,PLCB4	
Apelin Muscle Signaling Pathway	2.48E-01	2.08E-02	NaN	GNA15	
PFKFB4 Signaling Pathway	2.48E-01	2.08E-02	NaN	TGFB3	
HGF Signaling	2.48E-01	1.52E-02	NaN	ITGA7,JUN	
p70S6K Signaling	2.48E-01	1.52E-02	NaN	F2RL1,PLCB4	
Ferroptosis Signaling Pathway	2.48E-01	1.52E-02	NaN	EMP1,HMOX1	
Gα12/13 Signaling	2.46E-01	1.5E-02	NaN	F2RL1,JUN	
CCR3 Signaling in Eosinophils	2.4E-01	1.48E-02	NaN	GNA15,PLCB4	
Thrombin Signaling	2.38E-01	1.33E-02	NaN	ADCY6,GNA15,PLCB4	
UVC-Induced MAPK Signaling	2.37E-01	1.96E-02	NaN	JUN	
Amyloid Processing	2.37E-01	1.96E-02	NaN	CAPN2	
HER-2 Signaling in Breast Cancer	2.37E-01	1.32E-02	NaN	BCL2L11,FGR,JUN	
TNFR1 Signaling	2.35E-01	1.92E-02	NaN	JUN	
UVB-Induced MAPK Signaling	2.35E-01	1.92E-02	NaN	JUN	
Insulin Receptor Signaling	2.31E-01	1.43E-02	NaN	SGK1,SOCS3	
Transcriptional Regulatory Network in Embryonic Stem Cells	2.28E-01	1.85E-02	NaN	L1CAM	
Phototransduction Pathway	2.28E-01	1.85E-02	NaN	CNGA1	
PI3K Signaling in B Lymphocytes	2.25E-01	1.4E-02	NaN	JUN,PLCB4	
EGF Signaling	2.25E-01	1.82E-02	NaN	JUN	
Primary Immunodeficiency Signaling	2.23E-01	1.79E-02	NaN	ICOS	
T Cell Receptor Signaling	2.23E-01	1.14E-02	-0.378	CD86,HLA-A,HLA-DOB,ICOS,IFNG,JUN,TCF4	
FAT10 Signaling Pathway	2.23E-01	1.79E-02	NaN	IFNG	
Triacylglycerol Degradation	2.19E-01	1.75E-02	NaN	PLA1A	
Nicotine Degradation III	2.15E-01	1.72E-02	NaN	CYP2S1	
NAD Signaling Pathway	2.09E-01	1.32E-02	NaN	RYR1,SLC12A8	
Actin Cytoskeleton Signaling	2.09E-01	1.22E-02	NaN	ARHGAP24,ITGA7,MATK	
GADD45 Signaling	2.08E-01	1.67E-02	NaN	TGFB3	
Melatonin Degradation I	1.99E-01	1.61E-02	NaN	CYP2S1	
Thrombopoietin Signaling	1.96E-01	1.59E-02	NaN	JUN	
Necroptosis Signaling Pathway	1.96E-01	1.27E-02	NaN	CAPN2,FASLG	
Ovarian Cancer Signaling	1.95E-01	1.27E-02	NaN	TCF4,WNT10A	
PXR/RXR Activation	1.95E-01	1.54E-02	NaN	RXRA	
Induction of Apoptosis by HIV1	1.95E-01	1.54E-02	NaN	FASLG	
ERB2-ERBB3 Signaling	1.95E-01	1.54E-02	NaN	JUN	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.95E-01	1.24E-02	NaN	FASLG,LTA	
Pyridoxal 5'-phosphate Salvage Pathway	1.95E-01	1.52E-02	NaN	SGK1	
Nicotine Degradation II	1.95E-01	1.52E-02	NaN	CYP2S1	
WNT/Ca+ pathway	1.95E-01	1.52E-02	NaN	PLCB4	
Glutamate Receptor Signaling	1.95E-01	1.52E-02	NaN	HOMER1	
Autoimmune Thyroid Disease Signaling	1.95E-01	1.1E-02	NaN	CD86,FASLG,HLA-A,HLA-DOB,TG	
Superpathway of Melatonin Degradation	1.95E-01	1.49E-02	NaN	CYP2S1	
HOTAIR Regulatory Pathway	1.95E-01	1.23E-02	NaN	TCF4,WNT10A	
Aldosterone Signaling in Epithelial Cells	1.94E-01	1.22E-02	NaN	PLCB4,SGK1	
Cell Cycle: G1/S Checkpoint Regulation	1.94E-01	1.47E-02	NaN	TGFB3	
Eicosanoid Signaling	1.94E-01	1.47E-02	NaN	HPGDS	
PKCθ Signaling in T Lymphocytes	1.92E-01	1.08E-02	-1.000	CACNA2D4,CACNB1,CD86,HLA-A,HLA-DOB,JUN	
Agrin Interactions at Neuromuscular Junction	1.9E-01	1.43E-02	NaN	JUN	
GM-CSF Signaling	1.9E-01	1.43E-02	NaN	CISH	
Growth Hormone Signaling	1.87E-01	1.41E-02	NaN	SOCS3	
Glioblastoma Multiforme Signaling	1.85E-01	1.17E-02	NaN	PLCB4,WNT10A	
Ephrin B Signaling	1.85E-01	1.39E-02	NaN	GNA15	
Glioma Invasiveness Signaling	1.82E-01	1.37E-02	NaN	TIMP2	
ERK5 Signaling	1.8E-01	1.35E-02	NaN	SGK1	
GDNF Family Ligand-Receptor Interactions	1.75E-01	1.32E-02	NaN	JUN	
Hypoxia Signaling in the Cardiovascular System	1.75E-01	1.32E-02	NaN	JUN	
Angiopoietin Signaling	1.73E-01	1.3E-02	NaN	GRB7	
Oxytocin Signaling Pathway	1.72E-01	1.07E-02	NaN	CACNA2D4,CACNB1,PLCB4	
NF-κB Activation by Viruses	1.72E-01	1.28E-02	NaN	CXCR5	
Allograft Rejection Signaling	1.72E-01	1.03E-02	NaN	CD86,FASLG,HLA-A,HLA-DOB,IFNG	
IL-3 Signaling	1.71E-01	1.27E-02	NaN	JUN	
Dopamine Receptor Signaling	1.71E-01	1.27E-02	NaN	ADCY6	
Renal Cell Carcinoma Signaling	1.69E-01	1.25E-02	NaN	JUN	
Estrogen-Dependent Breast Cancer Signaling	1.67E-01	1.23E-02	NaN	JUN	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.65E-01	1.22E-02	NaN	IFNG	
Cyclins and Cell Cycle Regulation	1.61E-01	1.19E-02	NaN	TGFB3	
VEGF Family Ligand-Receptor Interactions	1.61E-01	1.19E-02	NaN	NRP1	
LPS-stimulated MAPK Signaling	1.6E-01	1.18E-02	NaN	JUN	
HIPPO signaling	1.6E-01	1.18E-02	NaN	AJUBA	
PDGF Signaling	1.58E-01	1.16E-02	NaN	JUN	
Xenobiotic Metabolism AHR Signaling Pathway	1.56E-01	1.15E-02	NaN	AHR	
D-myo-inositol-5-phosphate Metabolism	1.56E-01	1.03E-02	NaN	PLCB4,SOCS3	
RANK Signaling in Osteoclasts	1.47E-01	1.1E-02	NaN	JUN	
Actin Nucleation by ARP-WASP Complex	1.43E-01	1.08E-02	NaN	ITGA7	
Non-Small Cell Lung Cancer Signaling	1.42E-01	1.06E-02	NaN	RXRA	
ERBB Signaling	1.42E-01	1.06E-02	NaN	JUN	
Small Cell Lung Cancer Signaling	1.38E-01	1.04E-02	NaN	RXRA	
Oxytocin In Brain Signaling Pathway	-0E00	1.02E-02	NaN	CACNA2D4,CACNB1	
CLEAR Signaling Pathway	-0E00	3.51E-03	NaN	RXRA	
p53 Signaling	-0E00	1.02E-02	NaN	JUN	
Regulation of Actin-based Motility by Rho	-0E00	8.62E-03	NaN	ITGA7	
Role of NFAT in Regulation of the Immune Response	-0E00	1.02E-02	-1.633	CD86,GNA15,HLA-A,HLA-DOB,JUN,PLCB4	
CCR5 Signaling in Macrophages	-0E00	1E-02	NaN	CACNA2D4,CACNB1,FASLG,GNA15,JUN	
Calcium-induced T Lymphocyte Apoptosis	-0E00	6.52E-03	NaN	CAPN2,HLA-A,HLA-DOB	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	4.71E-03	NaN	FASLG,HLA-A	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	4.18E-03	NaN	CD86,HLA-A	
CD28 Signaling in T Helper Cells	-0E00	7.74E-03	NaN	CD86,HLA-A,HLA-DOB,JUN	
Virus Entry via Endocytic Pathways	-0E00	9.62E-03	NaN	HLA-A	
Reelin Signaling in Neurons	-0E00	7.19E-03	NaN	FGR	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	9.9E-03	NaN	PLCB4	
CDK5 Signaling	-0E00	8.77E-03	NaN	ADCY6	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	9.86E-03	-1.000	CD86,HLA-A,HLA-DOB,ICOS,IL2RA	
ATM Signaling	-0E00	1.01E-02	NaN	JUN	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00	8.33E-03	NaN	WNT10A	
Prostate Cancer Signaling	-0E00	8.77E-03	NaN	KLK3	
Chronic Myeloid Leukemia Signaling	-0E00	9.35E-03	NaN	TGFB3	
mTOR Signaling	-0E00	4.72E-03	NaN	HMOX1	
Communication between Innate and Adaptive Immune Cells	-0E00	5.38E-03	NaN	CD83,CD86,HLA-A,IFNG,IL18	
Systemic Lupus Erythematosus Signaling	-0E00	8.04E-03	NaN	CD22,CD86,HLA-A,IL18,JUN	
CDC42 Signaling	-0E00	6.96E-03	NaN	HLA-A,HLA-DOB,ITGA7,JUN	
ILK Signaling	-0E00	5E-03	NaN	JUN	
EIF2 Signaling	-0E00	4.46E-03	NaN	TRIB3	
AMPK Signaling	-0E00	4.1E-03	NaN	GNA15	
PAK Signaling	-0E00	8.47E-03	NaN	ITGA7	
Hereditary Breast Cancer Signaling	-0E00	7.04E-03	NaN	FANCF	
Phospholipase C Signaling	-0E00	5.89E-03	NaN	ADCY6,HMOX1,ITGA7,PLCB4	
Regulation of eIF4 and p70S6K Signaling	-0E00	5.59E-03	NaN	ITGA7	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	4.34E-03	NaN	JUN,TGFB3	
NUR77 Signaling in T Lymphocytes	-0E00	9.77E-03	NaN	CD86,FASLG,HLA-A,HLA-DOB,RXRA	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	2.35E-03	NaN	TGFB3	
OX40 Signaling Pathway	-0E00	6.26E-03	NaN	HLA-A,HLA-DOB,JUN	
Paxillin Signaling	-0E00	9.26E-03	NaN	ITGA7	
RHOGDI Signaling	-0E00	9.3E-03	NaN	GNA15,ITGA7	
Telomerase Signaling	-0E00	9.35E-03	NaN	IL2RA	
Mouse Embryonic Stem Cell Pluripotency	-0E00	9.62E-03	NaN	TCF4	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	5.59E-03	NaN	SOCS3	
Superpathway of Inositol Phosphate Compounds	-0E00	8.55E-03	NaN	PLCB4,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	5.59E-03	NaN	SOCS3	
3-phosphoinositide Degradation	-0E00	5.24E-03	NaN	SOCS3	
3-phosphoinositide Biosynthesis	-0E00	4.88E-03	NaN	SOCS3	
Epithelial Adherens Junction Signaling	-0E00	6.37E-03	NaN	TCF4	
TEC Kinase Signaling	-0E00	8.64E-03	NaN	FASLG,FGR,GNA15,ITGA7,TNFRSF25	
Adipogenesis pathway	-0E00	7.41E-03	NaN	PER2	
ERK/MAPK Signaling	-0E00	4.63E-03	NaN	ITGA7	
SAPK/JNK Signaling	-0E00	1.99E-03	NaN	JUN	
B Cell Receptor Signaling	-0E00	4.75E-03	NaN	BCL6,CD22,JUN	
NF-κB Signaling	-0E00	7.02E-03	0.000	IL18,IL1R1,IL1R2,LTA	
Autophagy	-0E00	4.65E-03	NaN	JUN	
Sirtuin Signaling Pathway	-0E00	6.85E-03	NaN	BCL2L11,JUN	
Iron homeostasis signaling pathway	-0E00	7.19E-03	NaN	HMOX1	
Endocannabinoid Developing Neuron Pathway	-0E00	7.87E-03	NaN	ADCY6	
Apelin Cardiomyocyte Signaling Pathway	-0E00	1.01E-02	NaN	PLCB4	
Ephrin Receptor Signaling	-0E00	9.85E-03	NaN	GNA15,ITGA7	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	-0E00	8.85E-03	NaN	JUN	
