© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules	
Adrenomedullin signaling pathway	1.31E00	3.52E-02	-0.378	ADCY6,GNA15,IL18,LTA,MATK,PLCB4,RXRA	
PD-1, PD-L1 cancer immunotherapy pathway	1.3E00	4.72E-02	1.000	HLA-A,HLA-DOB,IFNG,IL2RA,TGFB3	
PPAR Signaling	1.3E00	4.67E-02	1.342	IL18,IL1R1,IL1R2,JUN,RXRA	
IL-9 Signaling	1.26E00	8.57E-02	NaN	BCL3,CISH,SOCS3	
Phagosome Maturation	1.23E00	3.77E-02	NaN	CTSW,HLA-A,NCF1,STX1A,TUBB2B,TUBB6	
Axonal Guidance Signaling	1.22E00	2.36E-02	NaN	ADAM12,GNA15,ITGA7,L1CAM,NRP1,NTN1,NTNG2,PLCB4,SEMA4F,TUBB2B,TUBB6,WNT10A	
Netrin Signaling	1.22E00	5.56E-02	-2.000	CACNA2D4,CACNB1,NTN1,RYR1	
Insulin Secretion Signaling Pathway	1.19E00	2.94E-02	-1.342	ADCY6,CACNA2D4,CACNB1,FGR,GNA15,PLCB4,RYR1,STX1A	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.19E00	5.33E-02	0.000	ADCY6,GNA15,PLCB4,VIPR1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.19E00	4.24E-02	-2.236	ADCY6,CACNA2D4,CACNB1,GNA15,PLCB4	
MSP-RON Signaling In Macrophages Pathway	1.19E00	4.2E-02	-0.447	HLA-DOB,IFNG,JUN,KLK3,SOCS3	
p38 MAPK Signaling	1.18E00	4.17E-02	-0.447	FASLG,IL18,IL1R1,IL1R2,TGFB3	
VDR/RXR Activation	1.17E00	5.13E-02	0.000	IFNG,RUNX2,RXRA,SERPINB1	
IL-7 Signaling Pathway	1.17E00	5.13E-02	NaN	BCL6,CXCR5,IFNG,JUN	
