NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN	200	140		
GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_UP	200	131		
GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_DN	200	157		
GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP	200	152		
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_100MIN_DN	200	152		
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_100MIN_UP	200	160		
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN	200	151		
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	200	158		
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	200	154		
GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	200	157		
GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	200	149		
GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	200	159		
GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	200	157		
