"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"5094"	"Matk"	2327	-3.49029113180168	4.53772674413079	395.197249482954	6.97724270963025e-12	1.37452007748964e-08
"1240"	"Bcl2l11"	7137	-3.14769063095109	5.62752007905596	390.426917284023	7.59348070926468e-12	1.37452007748964e-08
"2316"	"Cyth3"	4287	-2.43142051390015	5.55721873044379	388.591444623168	7.8469271788181e-12	1.37452007748964e-08
"1763"	"Cdt1"	2191	2.3680368326332	5.85621743556365	477.330222810134	1.86368671416427e-12	1.37452007748964e-08
"5626"	"N4bp2l1"	1906	-1.89125270606915	5.71860140718114	404.833831033952	5.89822997855276e-12	1.37452007748964e-08
"4765"	"Lax1"	2371	-1.71877854586307	7.86570175182351	409.214548443716	5.47151583317435e-12	1.37452007748964e-08
"10501"	"Zwilch"	2784	3.05012019352359	4.15359858511354	346.525466659114	1.74045281510979e-11	2.00716064382789e-08
"2717"	"Dusp6"	2797	-2.11466491449232	6.44891603992071	351.785492651837	1.56766173293634e-11	2.00716064382789e-08
"2719"	"Dut"	2512	2.11431234154476	7.93388673990721	338.986940600942	2.02727596983979e-11	2.00716064382789e-08
"7469"	"Rnf19a"	4276	-1.26382348550616	7.83540311253332	352.936559737196	1.53250680151647e-11	2.00716064382789e-08
"7008"	"Ptma"	1192	1.18361389465639	10.3203939360433	337.250703715252	2.10073901827848e-11	2.00716064382789e-08
"1505"	"Cbx5"	8986	2.17866813800231	6.81538038012482	328.190066400781	2.53693515649255e-11	2.03020033873911e-08
"8673"	"Suv39h1"	3314	2.05507667868997	6.62271674119618	331.383952602642	2.37236226451992e-11	2.03020033873911e-08
"3933"	"H2-K1"	1646	-1.59710704807914	11.4013533669188	325.17430852196	2.70435820574192e-11	2.03020033873911e-08
"4487"	"Itm2c"	2024	-1.63846790060559	7.93988711630178	320.849118219776	2.96691179196555e-11	2.07881619557053e-08
"8950"	"Ticrr"	7196	3.18256084601718	5.18873653793916	305.339288997669	4.17842006607631e-11	2.0953577747793e-08
"4299"	"Igflr1"	1186	-3.18076276692442	6.73424051275124	310.875853016145	3.69073990411982e-11	2.0953577747793e-08
"2968"	"Ephx1"	1665	-2.84583575097706	7.38736480426278	305.297689194444	4.18235224572254e-11	2.0953577747793e-08
"3834"	"Gpsm2"	3488	2.43760929193494	5.68190446753189	300.639809752551	4.65051777382866e-11	2.0953577747793e-08
"6106"	"Orc6"	1654	2.10680329375414	6.26951064700475	299.401527274868	4.78483221643228e-11	2.0953577747793e-08
"7349"	"Rfc5"	1730	2.03283708886738	7.28084248267993	303.89210638374	4.31772329917488e-11	2.0953577747793e-08
"6258"	"Pcna"	1260	1.76113934347903	8.5030543448771	301.973961471999	4.51058629316142e-11	2.0953577747793e-08
